Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,Descripción completa,Unidades,Latitud,Longitud,fecha_recoleccion
"MALTA CIUDAD MALLORQUIN, Apartamento en Venta en Conjunto residencial villa campestre, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/malta-ciudad-mallorquin-apartamentos-en-venta-en-conjunto-residencial-villa-campestre-barranquilla/7969034,7969034,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/3/14/4155611_64_5.jpg,[],Desde $ 207.800.000,2 Habs. 1 Baño 56 m²,"Malta ciudad mallorquin, apartamento en venta en conjunto residencial villa campestre, barranquilla","Apartamento enBarranquilla, Atlantico",CONSTRUCTORA BOLIVAR,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2026,3,"¡Nueva etapa de apartamentos con subsidio en Ciudad Mallorquín! Malta es un proyecto de apartamentos en conjunto cerrado con variedad de zonas sociales como piscina para adultos y niños, coworking, gimnasio, sala premium, terrazas BBQ y mucho más. Además encuentra excelente distribución de espacios en nuestros apartamentos, ideales para vivir o invertir..",[],11.02816963195800000000,-74.83760833740230000000,2026-08-02
"PORTOROSSO APARTAMENTOS, Apartamento en Venta en Villa Campestre, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/portorosso-apartamentos-apartamentos-en-venta-en-villa-campestre-barranquilla/5177821,5177821,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/74fda0cf-4220-4bcc-9929-640df6b4e985/photos/74fda0cf-4220-4bcc-9929-640df6b4e985_5_False_005d089a-1bd9-4bc5-a87f-d7027929c94d.jpg,[],Desde $ 549.000.000,3 Habs. 3 Baños 91.42 m²,"Portorosso apartamentos, apartamento en venta en villa campestre, barranquilla","Apartamento enBarranquilla, Atlantico",CONCONCRETO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,1,70%,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"PortoRosso apartamentos es un conjunto residencial y de gran desarrollo inmobiliario, está ubicado estratégicamente cerca a Colegios, Universidades y Centros comerciales, su vista a la Ciénaga de Mallorquín y al Mar Caribe te darán los mejores atardeceres.Contamos con áreas desde 97 mts hasta 134 mts con 3 habitaciones, balcón, cocina abierta y totalmente terminados, sólo 4 apartamentos por piso, el parqueadero es cubierto. Contamos con planta eléctrica de suplencia total, las familias podrán disfrutar de piscina para adultos y niños, parque Infantil, cancha polideportiva, BBQ, gimnasio, Solarium y mucho más.",[],11.02376070000000000000,-74.85560810000000000000,2026-08-02
"Palmanova, Apartamentos en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/palmanova-apartamentos-en-venta-en-miramar-barranquilla/15017212,15017212,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.67a4d0c72cc59_infocdn__fh9rbdgefk0vlveclqhgd0hhiwvpy3kc1uyuvcnrpng.png,[],Desde $ 226.752.000,1 Hab 1 Baño 46.7 m²,"Palmanova, apartamentos en venta en miramar, barranquilla","Apartamento enBarranquilla, Atlantico",MARVAL BARRANQUILLA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,20%,todos los medios de pago,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"El proyecto PALMANOVA, es un conjunto tipo VIS se encuentra ubicado en el desarrollo urbanístico Ciudad Mallorquín, en el municipio de Puerto Colombia al noroccidente del departamento del Atlántico. Este proyecto está próximo a grandes hitos urbanos como la Universidad del Norte, el Colegio Parrish y el Hotel Marriot, además de vías importantes como la Carrera 53 y la Av. Olaya Herrera. Ciudad Mallorquín está ubicado estratégicamente en una de las principales zonas de desarrollo del Municipio de Puerto Colombia. Plantea la construcción de un parque urbano que se convertirá en el pulmón verde del nuevo sector, donde su principio fundamental es la conservación del entorno natural existente. Se complementará con ciclovías y amplios andenes que promueven una movilidad sostenible.",[],11.0059467,-74.8362835,2026-08-02
"Riverblue, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverblue-apartamentos-en-venta-en-riomar-barranquilla/10565926,10565926,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/4ae0487b-cc42-4235-a118-05a03d6793be/photos/4ae0487b-cc42-4235-a118-05a03d6793be_1_True_62c18f92-fd95-4409-a4e2-13c6e64841a5.jpg,[],Desde $ 261.495.000,2 Habs. 2 Baños 51.59 m²,"Riverblue, apartamento en venta en riomar, barranquilla","Apartamento enBarranquilla, Atlantico",MARVAL BARRANQUILLA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Riverblue es un innovador proyecto de Vivienda de Interés Social ubicado en norocciente de Barranquilla que reúne un diseño vanguardista y moderno con espacios abiertos, en una de las zonas de más desarrollo en la ciudad, Riomar. Con espacios para que conectes con tu vida y te reencuentres con la naturaleza, aprovechando su ubicación que te ofrece un estilo de vida único y todas las zonas comunes que buscas para ti y tu familia. Riverblue cuenta con 9 torres de 8 pisos con 8 apartamentos por piso, para un total de apartamentos de 576 unidades. Tiene un edificio de parqueaderos de 2 pisos, con parqueaderos y zonas comunes.",[],11.02105340000000000000,-74.82122420000000000000,2026-08-02
"LAGO FORET, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/lago-foret-apartamentos-en-venta-en-buenavista-barranquilla/10067978,10067978,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a5659cf22b69_infocdn__3z5asjqbfutoqnjd70pydc21zcb8qxxktcjruiznjpg.jpg,[],Desde $ 672.054.000,1 Hab 2 Baños 54.55 m²,"Lago foret, apartamento en venta en buenavista, barranquilla","Apartamento enBarranquilla, Atlantico",ARQUITECTURA Y CONCRETO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,70,26,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,"Lago Foret es el nuevo proyecto de apartamentos de Arquitectura y Concreto en el norte de Barranquilla. Lago Foret es un proyecto pensado para personas que forman una vida audaz e inteligente, que buscan un proyecto de vivienda que entrelace la naturaleza y la conexión con la ciudad. Lago Foret contará con tres (3) torres de apartamentos que se desarrollarán junto a una Reserva Forestal que resguardará un lago de color verde, todo esto con una ubicación central en el sector Buenavista en Barranquilla",[],11.01952928047670000000,-74.83317271546010000000,2026-08-02
"Apartamento en Venta en Ciudad Mallorquin, Barranquilla",https://www.fincaraiz.com.co/apartamento-en-venta-en-ciudad-mallorquin-barranquilla/193793263,193793263,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a680c2ee1161_infocdn__104566-1-1782165328jpg.jpg,[],$ 280.000.000,2 Habs. 2 Baños 57 m²,"Apartamento en venta en ciudad mallorquin, barranquilla","Apartamento enBarranquilla, Atlantico",Financar S.A.,Llamar,,,,,,,,,,,,,,"Edificio ubicado en un sector EXCLUSIVO del nuevo corredor universitario donde se desarrolla el municipios de puerto Colombia Es un proyecto que entrega en Septiembre del 2023. De ambiente fresco luz natural durante el día con espacios amplios dedicado para la familia. Cuenta con concina integral con mesón en granito pulido gabinetes inferiores, sala comedor, baños amplios, hall de alcoba área, de labores, balcón panorámico. El conjunto ofrece piscina, gimnasio, salón social, parque infantil, amplias zonas verdes, cancha múltiple y salón de juegos. Es cercano cc buena vista 1,2 mall plaza, plaza del parque, clínica porto azul, autopista al mar, corredor universitario y supermercado olímpica.",[],11.023914185464,-74.841573798705,2026-08-02
"POP UP LIVING: Invierte en Apartamentos para Rentas Cortas en Barranquilla, Apartamentos en Venta en Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/pop-up-living-invierte-en-apartamentos-para-rentas-cortas-en-barranquilla-apartamentos-en-venta-en-barranquilla/15018407,15018407,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69d594f703d3d_infocdn__5hcfn465oifk6odgxazjxwbli8oe2q7kff6cix9ojpg.jpg,[],Desde $ 517.304.002,1 Hab 1 Baño 27 m²,"Pop up living: invierte en apartamentos para rentas cortas en barranquilla, apartamentos en venta en barranquilla","Apartamento enBarranquilla, Atlantico",TRAZOS URBANOS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,70%,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"Pop Up Living es un edificio de 84 apartamentos diseñados para rentas cortas ubicado en la zona norte de Barranquilla. El proyecto ofrece 74 apartamentos entre 27 m² y 60 m² y 10 dúplex desde 60 m², con lobby, rooftop y zona comercial que complementan la experiencia hotelera. Diseñado para inversionistas, combina ubicación estratégica, operación profesional y diseño moderno, con suites hotelera proyectadas para generar ingresos y valorización.",[],11.0058549,-74.8116977,2026-08-02
"Apartamento en Venta en Villa Campestre, Barranquilla",https://www.fincaraiz.com.co/apartamento-en-venta-en-villa-campestre-barranquilla/193528188,193528188,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4e7c7674256_infocdn__gr190592420260317042411jpeg.jpeg,[],$ 485.000.000,3 Habs. 2 Baños 8088 m²,"Apartamento en venta en villa campestre, barranquilla","Apartamento enBarranquilla, Atlantico",VB BUSINESS S.A.S,Llamar,,,,,,,,,,,,,,"Descubre este elegante apartamento en venta ubicado en el exclusivo sector Altos de los Rosales, en el reconocido Edificio Altamar Caribe.Con 80.88 m² inteligentemente distribuidos, esta propiedad ofrece 3 cómodas habitaciones, 2 baños modernos y 1 parqueadero, ideal para quienes buscan confort, estilo y calidad de vida.El edificio cuenta con completas amenidades tipo club: piscina, gimnasio, canchas deportivas, parques y salón de eventos, perfectos para disfrutar momentos inolvidables en familia o con amigos.PRECIO DE VENTA: $485.000.000 Oportunidad unica en el sector.Contactenos para una visita presencial o virtual guiada por nosotros. Somo VB Business, El estándar de exclusividad, seguridad y efectividad que el valor de su patrimonio merece.",[],11.025361193562,-74.851924902483,2026-08-02
"Ciudad del Parque Tayrona I, Apartamento en Venta en Siete de abril, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-tayrona-i-apartamentos-en-venta-en-siete-de-abril-barranquilla/15017225,15017225,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.67a53316beeb1_infocdn__jnli7b6bayzwwynhtaro0xe4xpzyw5bmpkcqfljpjpg.jpg,[],Desde $ 241.404.000,2 Habs. 2 Baños 58.76 m²,"Ciudad del parque tayrona i, apartamento en venta en siete de abril, barranquilla","Apartamento enBarranquilla, Atlantico",MARVAL BARRANQUILLA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"Se encuentra ubicado en el desarrollo urbanístico conocido como Ciudad del Parque, ubicado en el municipio de Soledad, Este es un sector de gran desarrollo urbano, con parques de cesión pública y vías de perfil amplio. Al frente del conjunto hay una importante área de cesión en la cual se desarrollará un gran parque con zonas verdes, cancha, áreas de recreación pasiva y activa y senderos peatonales. Como parte de la nueva Soledad, el sector cuenta con múltiples vías de acceso, cercano a varios espacios educativos y comerciales. Podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia",[],10.926514,-74.8208668,2026-08-02
"La Plazuela, Apartamento en Venta en Boston, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/la-plazuela-apartamentos-en-venta-en-boston-barranquilla/15017157,15017157,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.67a22d5d18c7d_infocdn__qsmsj0zd3iri4upiohieyj9pbnhsliowfcrif6v6jpg.jpg,[],Desde $ 357.807.000,2 Habs. 2 Baños 62.31 m²,"La plazuela, apartamento en venta en boston, barranquilla","Apartamento enBarranquilla, Atlantico",MARVAL BARRANQUILLA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"Un proyecto diseñado con las ventajas de tenerlo todo alrededor. 732 apartamentos construidos con características que encierran una distribución ideal, exclusivas zonas de bienestar y una torre con 732 parqueaderos privados y 146 estacionamientos para visitantes. Vías de acceso principales que favorecen tu movilidad: Calle 53 entre carrera 44 y 45. El proyecto está diseñado con las ventajas de tenerlo todo a su alrededor, cuenta con características que encierran una distribución ideal y exclusiva en todas sus zonas y espacios que brindan confort y bienestar para toda tu familia. Su zona social cuenta con gimnasio, juegos infantiles, piscina familiar, salón de eventos, zonas verdes, entre otras amenidades que te regalarán nuevas experiencias. Su ubicación es céntrica. Sitios de interés cercanos: – Homecenter – Plaza de la Paz – C.C. Portal del Prado – Colegio María Auxiliadora – Universidad Libre – Universidad Santo Tomás – Catedral Metropolitana María Reina de Barranquilla – Estación La Catedral de Transmetro",[],10.9868682,-74.7898065,2026-08-02
