Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,Descripción completa,Unidades,Latitud,Longitud,fecha_recoleccion
"KOBE 50, Apartamento en Venta en Teusaquillo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/kobe-50-apartamentos-en-venta-en-teusaquillo-bogota/15017423,15017423,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.681cafa8525ba_infocdn__lmujbxnp3g5ollpeywowx9yfewyr5n6m1nyqexgdjpg.jpg,[],Desde $ 235.000.000,1 Hab 1 Baño 22.38 m²,"Kobe 50, apartamento en venta en teusaquillo, bogotá","Apartamento enBogotá, Bogotá, d.c.",CSB INMOBILIARIA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"El proyecto va a tener 104 unidades estrato 3 cerca al Transmilenio y futuro metro, universidades, centros comerciales y parques ubicado en la calle 50 con carrera 20",[],4.6395128933153,-74.0718376,2026-08-02
"ALMA 72, Apartamentos en Venta en San felipe, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/alma-72-apartamentos-en-venta-en-san-felipe-bogota/7984025,7984025,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6929b24c29416_infocdn__zwnjva3je7r0kh8v8ve8nyoo2r8hkt3ljviquoopjpg.jpg,[],Desde $ 311.000.000,1 Hab 1 Baño 26 m²,"Alma 72, apartamentos en venta en san felipe, bogotá","Apartamento enBogotá, Bogotá, d.c.",APIROS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,70,30,¡Pregúntale!,16,¡Pregúntale!,¡Pregúntale!,4,"Alma 72, ubicado en una de las zonas más estratégicas de Bogotá a 10 minutos caminando de la línea 1 y 2 del futuro Metro , cerca de la zona T el sector financiero por excelencia de la ciudad y de todo lo que quieres tener muy cerca. Alma 72 es la nueva tendencia de vivienda, con zonas exclusivas de entretenimiento y bienestar: Terraza BBQ, Zona de fogatas, Sauna, Jacuzzi, Gimnasio, Zona de yoga, Zona TRX, Zona de lunch, Zona de juegos, Zona de snacks, coworking y mucho más. Habilitado para rentas cortas para rentas cortas.",[],4.662551775841,-74.067690163851,2026-08-02
"Lote en Venta en El vergel, Bogotá",https://www.fincaraiz.com.co/lote-en-venta-en-el-vergel-bogota/192820936,192820936,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68b6439d7f2a7_infocdn__isejrgnl22ovlzfu88ckdkel1w5pm3lct6kcgv8pjpg.jpg,[],$ 1.700.000.000,640 m²,"Lote en venta en el vergel, bogotá","Lote enBogotá, Bogotá, d.c.",GYNSAS,Llamar,,,,,,,,,,,,,,"*VENTA LOTE BOGOTÁ,  B. VALLADOLID**DIR:*   Cl. 15A # 81G-15.*ÁREA:*   640  M2.*BARRIO:*  Vergel Occidental.*UPL:*  13 Tintal.*UPZ:*   46  Castilla.*FRENTE Cl. 15A:*   9,6  Mts.*FRENTE  Cr.  81G:*    28 Mts.*ANCHO  TOTAL:*   18. Mts.*FONDO TOTAL:*    42  Mts.*ESTRATO:*  3Son 4 lotes unidos físicamente.*FOLIOS DE MATRÍCULAS INMOBILIARIAS*- 50C-1362718- ⁠50C-1318202- ⁠50C-432195- ⁠50C-497109*CHIPS:*- AAA 0148 JEEA.- ⁠AAA 0148 JEHY.- ⁠AAA 0148 JEKL.- ⁠AAA 0148 JEJH.*CÓDIGOS DE LOTES:*- *0 ****- ⁠*0 ****- *⁠0 ****- ⁠*0 *****DIRECCIONES:*- Cl. 15A # 81G-15.- ⁠Cr. 81G # 14b-43.- ⁠Cr. 81G # 14b-23.- ⁠Cr. 81G # 14b-11.*NORMA:*- Tratamiento:  Desarrollo.- ⁠Modalidad:  Desarrollo.- ⁠A. Actividad:  Industrial.- ⁠Uso:  Vivienda, industria liviana, Dotacional.*PRECIO:   $1.700’000.000Son mil setecientos  MILLÓNes DE PESOS,   NEGOCIABLES*Att.*Iván   Arias   Botero*https://www.instagram.com/gynsascolhttps://www.gynsas.com C. *[email protected]*Tel-Wasap:   *300 *****GYNSASFIDUA - PETROVALOR.*",[],4.655371,-74.137542,2026-08-02
"Apartamento en Venta en Mazuren, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-mazuren-bogota/193915918,193915918,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a3d39622a15a_infocdn__ihy1ov5ohsc5zurq8pbxnatx9u5usdnk2dqgruchjpg.jpg,[],$ 420.000.000,3 Habs. 2 Baños 75 m²,"Apartamento en venta en mazuren, bogotá","Apartamento enBogotá, Bogotá, d.c.",Adcim Colombia Ltda.,Llamar,,,,,,,,,,,,,,"iOPORTUNIDAD DE VENTA! Se vende acogedor apartamento en séptimo piso con ascensor, consta de 3 habitaciones con clóset, 2 baños, sala-comedor, cocina y zona de ropas. Ubicado en un sexto piso con ascensor, se destaca por su excelente iluminación natural y ventilación. Incluye parqueadero cubierto con espacio para depósito.El conjunto cuenta con vigilancia 24 horas, recepción, gimnasio, cancha de squash y amplio salón social.Excelente ubicación, a media cuadra de las estaciones de TransMilenio Calle 146 y Mazurén, con fácil acceso por la Autopista Norte y la Calle 153, y a solo dos cuadras del Centro Comercial Mazurén.¡Una excelente oportunidad para vivir en una zona estratégica, cómoda y segura!",[],4.7327594,-74.0506162,2026-08-02
"ARTIÉ 84, Apartamento en Venta en La cabrera, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/artie-84-apartamentos-en-venta-en-la-cabrera-bogota/15017586,15017586,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a73b2fba33b_infocdn__flfbseuyhe0pauy3bi2ep27j1owd4daypqwvncxjjpg.jpg,[],Desde $ 1.095.000.000,1 Hab 1 Baño 55.2 m²,"Artié 84, apartamento en venta en la cabrera, bogotá","Apartamento enBogotá, Bogotá, d.c.",ARQUITECTURA Y CONCRETO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"Artié84 es un proyecto que marcará un hito de Bogotá, al combinar un gran diseño arquitectónico en una entorno privilegiado donde podrán disfrutar de un estilo de vida exclusivo al alcance de la mano. Esta ubicación inmejorable les permitirá vivir una vida cosmopolita, rodeados de lo mejor que Bogotá tiene para ofrecer. Proyecto en construcción.",[],4.6638336,-74.0484052,2026-08-02
"SANTA ANA, Apartamento en Venta en Santa ana oriental, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/santa-ana-apartamentos-en-venta-en-santa-ana-oriental-bogota/15017585,15017585,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68791eb575e54_infocdn__f30tqpuu3ddrijee90lmm89xrrum3c0bfzoumddajpg.jpg,[],Desde $ 927.800.000,1 Hab 2 Baños 53 m²,"Santa ana, apartamento en venta en santa ana oriental, bogotá","Apartamento enBogotá, Bogotá, d.c.",ARQUITECTURA Y CONCRETO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,Banco aliados o el del preferencia del cliente (70%),30/70,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"Santa Ana cuenta con un nuevo concepto habitacional donde disfrutarás el privilegio de vivir en una de las zonas más tradicionales y exclusivas de la ciudad. Aquí, tienes la posibilidad de comprar o rentar apartamentos en Bogotá con áreas construidas desde los 32 m² hasta 67 m².Ubicado en Santa Ana Oriental. Ha sido concebido para ofrecerle a los mayores de 50 años, activos e independientes, los mejores espacios para disfrutar y descansar.Cuenta con servicios especiales donde te sentirás viviendo en un hotel. Además, el proyecto cuenta con excelentes espacios de esparcimiento, como oratorio, biblioteca, skybar, restaurante, baño para el personal de servicio, terraza bbq, gym, peluquería y enfermería 24 horas.En este proyecto tienes la posibilidad de comprar o rentar un inmueble. Comunícate con nuestra sala de negocios para tener información sobre los arrendamientos.",[],4.688776251375,-74.033787799753,2026-08-02
"Apartamento en Venta en Zona centro, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-zona-centro-bogota/193995588,193995588,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a581cc1eb178_infocdn__sv0hgea0sdgqgsswjzqdj2lvavkabngox81flck4jpg.jpg,[],$ 150.000.000,1 Hab 1 Baño 24 m²,"Apartamento en venta en zona centro, bogotá","Apartamento enBogotá, Bogotá, d.c.",Estrategia SAS,Llamar,,,,,,,,,,,,,,"Disfrute de este apartaestudio ubicado en pleno centro de la ciudad, cercano al c.c. Mall Plaza, Plaza de Paloquemao.  Estrato 3.  En 6 piso con vista exterior.  Monoambiente.  Tiene un baño.  Estufa a gas, calentador de paso eléctrico para el agua caliente.  El conjunto residencial Centenari fue construido en el año 2022.   El conjunto residencial cuenta con vigilancia 7/24, y sistemas de seguridad de última generación, cancha de mini-fútbol, zona de lavandería comunal, bicicleteros, parqueaderos de visitantes sorteados, salón social, parque infantil,  ubicación estratégica: En el corazón de Bogotá, Centenari combina la tranquilidad de una zona residencial con el fácil acceso a servicios y zonas de ocio.  UNICO PRECIO.",[],4.6121814,-74.0837087,2026-08-02
"KOEL 1, Apartaestudio en Venta en Olaya, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/koel-1-apartaestudios-en-venta-en-olaya-bogota/15018045,15018045,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a347afb83072_infocdn__0nikpt9di34npq1gsahtgev421ns7nmevewo53qvpng.png,[],Desde $ 154.594.000,1 Hab 1 Baño 26.42 m²,"Koel 1, apartaestudio en venta en olaya, bogotá","Apartaestudio enBogotá, Bogotá, d.c.",CÍRCULO INGENIERÍA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2026,3,"KOEL es un edificio de 60 apartaestudios y apartamentos de 7 pisos con ascensor peatonal, videoportero y puertas automatizadas para brindar una experiencia inolvidable. Cuenta con parqueaderos comunales.*Aplica subsidio*Entrega en obra gris",[],4.5807212,-74.1057588,2026-08-02
"Apartamento en Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/194034018,194034018,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a64c9f711b4b_infocdn__agadusgavzcbiqjvpid9rrvtqaoxef4t99dxfmtqjpg.jpg,[],$ 635.000.000,3 Habs. 3 Baños 85 m²,"Apartamento en venta en cedritos, bogotá","Apartamento enBogotá, Bogotá, d.c.",Osorio & CIA,Llamar,,,,,,,,,,,,,,"Descubra este espectacular apartamento en venta, ubicado en el exclusivo Edificio Multifamiliar Espacio 140 P.H. en la Carrera 11, Usaquén, Cundinamarca. Esta moderna propiedad de 9 pisos, con una antigüedad de 9 a 15 años, ofrece ambientes amplios y luminosos, perfectamente diseñados para el confort y el estilo de vida contemporáneo.  Al ingresar, será recibido por una atmósfera acogedora que da paso a un comedor espacioso, realzado por grandes ventanales que permiten una excelente ventilación natural y abundante luz. La cocina abierta es el corazón del hogar, equipada con gabinetes rojos vibrantes y una práctica barra estilo americano, ideal para el entretenimiento. Los pisos de madera y baldosa aportan un toque de sofisticación y calidez a cada rincón.  El apartamento cuenta con dos baños completos y dos garajes, garantizando comodidad y funcionalidad. El dormitorio secundario, igualmente amplio y luminoso, incluye un armario empotrado, optimizando el espacio. La cocina integral está completamente equipada, y los acabados modernos en todo el inmueble aseguran un hogar listo para habitar. Esta propiedad es una oportunidad única para quienes buscan un estilo de vida elevado en una de las zonas más atractivas de Bogotá.",[],4.7199083,-74.0345565,2026-08-02
"Apartamento en Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193987663,193987663,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a60f733a1049_infocdn__3393694b-cb37-4469-a9f7-06b3622b95a3.jpeg,[],$ 625.000.000,3 Habs. 3 Baños 121 m²,"Apartamento en venta en cedritos, bogotá","Apartamento enBogotá, Bogotá, d.c.",ACROS INMOBILIARIA SAS,Llamar,,,,,,,,,,,,,,"Apartamento Dúplex en Venta – Sector CedritosAmplio y acogedor apartamento dúplex de 121.60 mts², ubicado en uno de los sectores residenciales más apetecidos de la ciudad, con fácil acceso a centros comerciales, restaurantes, colegios y toda la vida de barrio que buscas para tu familia.Primer piso:Sala comedor con chimenea, ideal para compartir en familiaAmplia cocina cerrada, con zona de lavanderíaBaño de servicioBaño socialDos habitaciones, una de ellas con baño privadoSegundo piso:Habitación principal con baño privadoZona de TVTerraza techada con doble acceso, desde la zona de TV y desde la habitación principal — un espacio perfecto para relajarse.El apartamentos cuenta con1 garaje cubiertoDepósitoUn apartamento con excelente distribución de espacios y gran potencial, ideal para quienes buscan hacerlo a su gusto: requiere algunas remodelaciones (entre ellas la cocina), lo que representa una oportunidad para personalizarlo según tus necesidades y estilo.¡Agenda tu visita y conoce este espacio lleno de posibilidades! ***",[],4.7289194,-74.0387545,2026-08-02
