Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Apartaestudio en Venta en Bolivar, Bucaramanga",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-bolivar-bucaramanga/193872059,193872059,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a2c39ab79001_infocdn__mwo9dg2859wfllyvkwkecxtzdza1ywog6yosesinpng.png,[],$ 160.000.000,1 Hab 1 Baño 43 m²,"Apartaestudio en venta en bolivar, bucaramanga","Apartaestudio enBucaramanga, Santander",CÓDIGO INMOBILIARIO,Llamar,"Oportunidad Apartaestudio en Venta. Precio Negociable. Excelente apartaestudio ubicado en un sector estratégico y de alta valorización de la ciudad. Consta de una amplia y luminosa sala-comedor ideal para disfrutar de momentos en familia. Dispone de una cocina semi-integral funcional con zona de lavanderia, una habitacion con clóset, la cual cuenta con su baño privado para mayor comodidad y privacidad. Su ubicación privilegiada permite fácil acceso a vías principales, comercio, servicios y zonas de interés, convirtiéndolo en una excelente opción para vivir o invertir.",[],7.118593,-73.118987,,,,,,,,,,,,,,2026-08-02
"Casa en Venta en Comuna 12 - cabecera del llano, Bucaramanga",https://www.fincaraiz.com.co/casa-en-venta-en-comuna-12-cabecera-del-llano-bucaramanga/193677615,193677615,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20260426163031.png,[],$ 1.250.000.000,6 Habs. 4 Baños 439 m²,"Casa en venta en comuna 12 - cabecera del llano, bucaramanga","Casa enBucaramanga, Santander",INMOBILIARIA VITRINA URBANA SAS,Llamar,"Hermosa casa contemporanea de dos pisos; garaje para dos vehículos, hall de recibo, sala, comedor, cocina integral, patio central tipo claustro, dos alcobas en el primer piso + alcoba de servicio con baño, baño social. En el segundo piso, estar de TV, tres alcobas amplias con closet, dos baños. Ubicada a 50 metros del parque San Pío y de la Iglesia, cerca al Centro Comercial Cabecera, y zona comercial y bancaria. Uso del suelo: (C-1) Comercial y Servicios",[],7.1177328,-73.1099738,,,,,,,,,,,,,,2026-08-02
"Local en Venta en Antonia santos centro, Bucaramanga",https://www.fincaraiz.com.co/local-en-venta-en-antonia-santos-centro-bucaramanga/193254507,193254507,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.695ed26a63936_infocdn__jxhuvzh9xjad8pjkzlzokkjrz2ibs6faboglgprnjpg.jpg,[],$ 300.000.000,46.93 m²,"Local en venta en antonia santos centro, bucaramanga","Local Comercial enBucaramanga, Santander",G.O Inmobiliaria e Inversiones Ltda.,Llamar,LOCAL EXCELENTE UBICACION PISOS PORCELANATO CAFETERIA CUARTO INYECTOLOGIA.PARA MAYOR INFORMACION SOBRE NUESTROS INMUEBLES COMUNICARSE AL ***O AL ***,[],7.12295,-73.1194703,,,,,,,,,,,,,,2026-08-02
"FLORA CLUB HOUSE, Apartamento en Venta en Conucos, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/flora-club-house-apartamentos-en-venta-en-conucos-bucaramanga/5568081,5568081,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/3/29/2671556_503_30.jpg,[],Desde $ 542.170.000,3 Habs. 2 Baños 84.2 m²,"Flora club house, apartamento en venta en conucos, bucaramanga","Apartamento enBucaramanga, Santander",URBANIZADORA MARTINEZ ESPARZA URBAMARES,Llamar,"Proyecto Flora Club House, conjunto cerrado con excelente ubicación junto al Parque La Flora y Colegio La Merced en Bucaramanga, muy cerca de Cabecera y Centro Comercial Cacique.Apartamentos disponibles con 3 habitaciones, primera torre ya construida y vendida 100%, segunda torre EN CONSTRUCCIÓN últimas unidades disponibles para entrega SEGUNDO SEMESTRE 2026, tercera torre SOBRE PLANOS proyectada para PRIMER SEMESTRE 2029.Fabulosas zonas sociales para disfrutar en familia y con amigos, altura piso a techo 2.70 m, full acabados de lujo, el precio de metro cuadrado más favorable de la zona  y gran valorización, amplias y accesibles formas de pago.",[],7.1058153,-73.1086938,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,20% o 30 % de cuota inicial y 70% o 80% crédito bancario.,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"Citycenter, Apartamentos en Venta en La victoria, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/citycenter-apartamentos-en-venta-en-la-victoria-bucaramanga/2395253,2395253,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/6c337e0b-6755-43ff-a905-dbc7e5fc0dbf/photos/6c337e0b-6755-43ff-a905-dbc7e5fc0dbf_1_True_d7388326-e821-43d7-b9d9-94fbac924154.jpg,[],Desde $ 501.746.000,2 Habs. 1 Baño 55.35 m²,"Citycenter, apartamentos en venta en la victoria, bucaramanga","Apartamento enBucaramanga, Santander",MARVAL  BUCARAMANGA,Llamar,"City Center es un concepto urbanístico inspirado en las principales ciudades del mundo, ubicado en las antiguas bodegas de Hipinto. Para Bucaramanga este proyecto es la primera integración eficiente de espacios residenciales, amenidades de alto nivel y oferta comercial variada..",[],7.10409641265869000000,-73.11330413818360000000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,Financiación: 80%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-02
"Sky Tower, Apartamentos en Venta en El tejar, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/sky-tower-apartamentos-en-venta-en-el-tejar-bucaramanga/10183158,10183158,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.66706f078c3da_infocdn__qnxy9dgs8tsyymgld0r2jrflrgiclmdbxfrulgpwjpg.jpg,[],Desde $ 539.867.000,1 Hab 1 Baño 46.27 m²,"Sky tower, apartamentos en venta en el tejar, bucaramanga","Apartamento enBucaramanga, Santander",MARVAL  BUCARAMANGA,Llamar,"Un proyecto que le apuesta a la nueva tendencia en vivienda bajo dos esquemas residenciales “Condos” viviendas diseñadas para estadía permanente con todos los requisitos de seguridad, esparcimiento, comodidad y diseño bioclimático.Diseñados para una comunidad exclusiva de emprendedores, amantes del arte, creativos, sociables, foodies & “Suites” espacios concebidos para diferentes tipos de estancia donde disfrutarás los mismos amenities, confort y calidad que en nuestros condo pero con múltiples posibilidades en acomodación por el tiempo que lo necesites.Cuenta con una ubicación privilegiada en el corazón de Bucaramanga, cerca de los mejores restaurantes, boutiques, centros comerciales y parques. Con un concepto arquitectónico que le apuesta a los nuevos estilos de vida.",[],7.10025670000000000000,-73.10463940000000000000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"Reserva de Cataluña, Apartamentos en Venta en El tejar, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-cataluña-apartamentos-en-venta-en-el-tejar-bucaramanga/4038423,4038423,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/fd416132-df32-48b4-9e66-e8652555e071/photos/fd416132-df32-48b4-9e66-e8652555e071_1_True_d4b121c8-f180-4a54-8003-6cc99253c0b8.jpg,[],Desde $ 2.634.976.000,4 Habs. 5 Baños 273.9 m²,"Reserva de cataluña, apartamentos en venta en el tejar, bucaramanga","Apartamento enBucaramanga, Santander",MARVAL  BUCARAMANGA,Llamar,Reserva de Cataluña es el primer condominio que dará inicio a esta Gran Reserva y el futuro de la nueva Bucaramanga. Este proyecto te da la oportunidad de vivir en exclusivos apartamentos donde podrás disfrutar todo lo que la nueva Bucaramanga tiene para ti. Cuenta con Club House Deportivo y Club House Familiar para brindar bienestar y confort a sus residentes y visitantes..,[],7.10096979141235000000,-73.10445404052730000000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,Financiación: 80%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,2026-08-02
"Apartamento en Venta en Ciudadela real de minas, Bucaramanga",https://www.fincaraiz.com.co/apartamento-en-venta-en-ciudadela-real-de-minas-bucaramanga/193051965,193051965,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6905316a6ed46_infocdn__property-8828-1-1752096857-imagenjpg.jpg,[],$ 365.000.000,3 Habs. 2 Baños 122 m²,"Apartamento en venta en ciudadela real de minas, bucaramanga","Apartamento enBucaramanga, Santander",IPIMAC S.A.S,Llamar,"¡Amplio y cómodo apartamento en Real de Minas!Ubicación privilegiada: Real de Minas – Cerca de bancos, supermercados y centro comercialPrecio: ¡Negociable!Área: 122 m² muy bien distribuidosEstrato: 4Detalles del apartamento•	 3 habitaciones + estudio•	 2 baños•	 Sala - comedor•	 Cocina integral•	 2 terrazas privadas•	 ParqueaderoZona social de ensueño•	 Piscina para adultos y niños•	 Salón social•	 Cancha múltiple•	 Parque infantil•	 SaunaVive con confort, amplitud y todo lo que tu familia necesita a pocos pasos de todo. ¡Ideal para disfrutar en familia!Contáctanos y agenda tu visita hoy mismo.",[],7.106113336167,-73.12007591635,,,,,,,,,,,,,,2026-08-02
"Apartaestudio en Venta en Cabecera del llano, Bucaramanga",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cabecera-del-llano-bucaramanga/194034058,194034058,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a64d50b8d2c6_infocdn__fviydmqotvhcldfjgbsdni8cj6gi8bzibjomlz1ijpg.jpg,[],$ 350.000.000,1 Hab 2 Baños 45 m²,"Apartaestudio en venta en cabecera del llano, bucaramanga","Apartaestudio enBucaramanga, Santander",Casa Urbana Inmobiliaria SAS,Llamar,"EN VENTA hermoso apartaestudio ubicado en el conjunto bonum de mardel, 45.2 metros, 1 alcoba con closet y baño, 1 baño auxiliar, sala comedor, balcon, cocina integral, zona de ropas, garaje cubierto para carro, conjunto cerrado con vigilancia las 24 horas, salon social, piscina, CONTACTA TU CITA",[],7.1199956,-73.1106005,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Cabecera del llano, Bucaramanga",https://www.fincaraiz.com.co/apartamento-en-venta-en-cabecera-del-llano-bucaramanga/193598086,193598086,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69d441a26ff67_infocdn__ev7attxujruz3pnb4gpuiib8olacmtlngodt5jl7jpg.jpg,[],$ 499.000.000,3 Habs. 2 Baños 99 m²,"Apartamento en venta en cabecera del llano, bucaramanga","Apartamento enBucaramanga, Santander",Arrendamientos Ogliastri,Llamar,"? ¡Tu nuevo hogar en el corazón de Cabecera te espera! ✨Descubre este imponente y luminoso apartamento en venta, ubicado en el exclusivo Edificio Casa Prada, en el cotizado sector de Cabecera del Llano. Disfruta de espacios amplios, acabados modernos y una vista espectacular de la ciudad que te encantará desde el primer momento.Características principales:• ? Área: 99 Metros Cuadrados perfectamente distribuidos.• ?️ Habitaciones: 3 amplias habitaciones con clósets de madera de piso a techo.• ? Baños: 2 baños con divisiones en vidrio templado y acabados modernos.• ? Cocina: Integral y abierta, con una elegante barra oscura, ideal para compartir.• ✨ Extras: Pisos tipo madera que aportan gran calidez, excelente iluminación natural gracias a sus amplios ventanales y zona de ropas independiente.Vivir en Cabecera te conecta con lo mejor de la ciudad: exclusividad, tranquilidad y cercanía a zonas comerciales, parques y restaurantes.¿Listo para conocer tu próximo apartamento? ¡No dejes pasar esta oportunidad!? Contáctanos hoy mismo para más información o para agendar tu visita",[],7.1205301,-73.1112248,,,,,,,,,,,,,,2026-08-02
