Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/193726505,193726505,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69fe4788a911b_infocdn__kydulannp417oasusggzmannqhb6u2hgmoq8quehjpg.jpg,[],$ 290.000.000,3 Habs. 2 Baños 68 m²,"Apartamento en venta en valle del lili, cali","Apartamento enCali, Valle del cauca",EPSILUM ASESORES,Llamar,"SE VENDE APARTAMENTO CONJUNTO JADE VALLE DEL LILIÁrea 67 Mt2Piso 13 habitaciones todos con aire acondicionado2 baños todas con bañoBalcón con vista hacia el exteriorHabitación principal con Vestier y bañoBaño socialSala comedor y estudioCocina integral Abierta tipo americanaZona de servicio1 parqueaderoCuenta con amenidades como salón social, piscina para adultos y piscina de niñosPrecio $290.000.000negociablesAdministración : $289.000",[],3.3708257,-76.5057779,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/193990939,193990939,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a570228a9b7a_infocdn__cz9g3nr5k0yee0iht9nxgzcmw5mvzl8fefwaywnejpg.jpg,[],$ 290.000.000,2 Habs. 2 Baños 60 m²,"Apartamento en venta en valle del lili, cali","Apartamento enCali, Valle del cauca",EPSILUM ASESORES,Llamar,"VENTA DE APARTAMENTO ZONA SUR DE CALI ROSALES VIVERO CON PARQUEADERO PROPIOEncuentra en este apartamento en el sur de Cali zona VIVERO unidad residencial Rosales de 60 metros cuadrados, cuenta con piso terminado en porcelanato paredes y techo. dos alcobas, espacio disponible para vestier, estudio o star, dos baños terminados, el segundo en la alcoba principal, sala comedor con acceso a amplio balcon, cocina abierta moderna amplia, zona de oficios independiente. Consta de parqueadero privado, lindas zonas comunes pensadas en la diversion y entretenimiento de toda la familia como piscina para adultos y para niños, cancha multiple, salon social, gimnasio dotado, juegos infantiles , doble porteria y vigilancia 24/7 COMUNICATE PARA AGENDAR VISITA!",[],3.3587732,-76.5064552,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/193990884,193990884,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a56fe51f2965_infocdn__uw8mljo6hl1kiya6p5jpxchzrpo7zhhh0iyjs7vtjpg.jpg,[],$ 250.000.000,2 Habs. 2 Baños 60 m²,"Apartamento en venta en valle del lili, cali","Apartamento enCali, Valle del cauca",EPSILUM ASESORES,Llamar,"SE VENDE APARTAMENTO EN CIUDAD MELÉNDEZ Conjunto Residencial Cian Valle del Lili Listo para mudarse y disfrutar. Un apartamento moderno con solo 4 años de antigüedad, excelentes acabados y ubicación premium. Características: Piso 9 con ascensor fresco e iluminado, 2 habitaciones con closets y estudio, 2 baños completos social y privado en alcoba principal, Cocina integral con bastantes cajones, Zona de oficios con lavadero y espacio para lavadora, Sala-comedor con balcón y vista exterior, Parqueadero comunitario carro y moto, El conjunto cuenta con: Piscinas para adultos y niños, salón social, juegos infantiles y un hermoso parque lineal justo en frente para caminar y ejercitarse. Formas de pago: Se recibe efectivo o crédito hipotecario. Tiene deuda vigente con BBVA y se entrega 100% al día y esta oportunidad. Para más información o agendar una visita, escríbeme.",[],3.370026,-76.507577,,,,,,,,,,,,,,2026-08-02
"Orellana, Apartamentos en Venta en El hormiguero, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/orellana-apartamentos-en-venta-en-el-hormiguero-cali/15017701,15017701,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ade31820ddc_infocdn__pmiwlaj1jemusb2uekzegxicobcybo3jyjg40nltjpg.jpg,[],Desde $ 330.600.000,2 Habs. 1 Baño 54.59 m²,"Orellana, apartamentos en venta en el hormiguero, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA BOLIVAR CALI,Llamar,"Este proyecto en conjunto cerrado, rodeado de amplias zonas verdes, está ubicado estratégicamente al sur de Cali. Orellana está conformado por 4 torres de 10 pisos, cada una con ascensor. Cuenta con un parqueadero propio 1 a 1 y sus completas zonas comunes incluyen salón social, gimnasio, sala de entretenimiento y coworking dotado, zona de juegos infantiles, piscina para adultos y piscina para niños. Un lugar pensado para brindar bienestar, accesibilidad y calidad de vida.",[],3.3291219,-76.5026127,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-02
"CHIPICHAPE GARDENS, Apartamento en Venta en Chipichape, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/chipichape-gardens-apartamentos-en-venta-en-chipichape-cali/15016873,15016873,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69fd23b72c879_infocdn__bdedsynfrpoiuimbvo2qkyfzuxx8u4yhushxza0opng.png,[],Desde $ 327.000.000,1 Hab 2 Baños 31.7 m²,"Chipichape gardens, apartamento en venta en chipichape, cali","Apartamento enCali, Valle del cauca",INDICO,Llamar,"Chipichape Gardens es el conjunto residencial más completo del norte de Cali, donde convergen bienestar, diseño contemporáneo y oportunidades de inversión en un entorno urbano en plena transformación. Este proyecto ha sido concebido con visión de futuro, integrando un modelo de uso mixto que combina vivienda y comercio para dinamizar la vida del sector y garantizar valorización sostenible. Con cuatro torres de apartamentos y un diseño funcional adaptable a distintos estilos de vida, ofrece una propuesta sólida tanto para quienes desean habitar de inmediato como para quienes buscan rentabilidad a corto, mediano o largo plazo. Chipichape Gardens representa una forma inteligente de vivir o invertir, con respaldo, proyección y propósito.!",[],3.4733655652145,-76.524391453442,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,20-30% CUOTA INICIAL,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"Zenda, Apartamento en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/zenda-apartamentos-en-venta-en-pance-cali/15017681,15017681,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.689b593bdeb1f_infocdn__v7n7l6ibbzth8nnhgiv7bqtnjzablaflrvf1bucbjpg.jpg,[],Desde $ 1.274.408.390,3 Habs. 4 Baños 124.81 m²,"Zenda, apartamento en venta en pance, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA BOLIVAR CALI,Llamar,"Vive en un exclusivo proyecto con dos torres de 10 pisos, ascensores, parqueadero propio, planta eléctrica total y un elegante car lobby. Disfruta de piscina, cancha de pádel, circuito de jogging, turco, fire pits y gimnasio. Además, cuenta con espacios dotados como working lounge, coworking, simulador de golf y un salón social premium con cocina y terraza. ¡Todo el confort que sueñas para tu hogar!",[],3.3496177334126,-76.54190163315,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,2026-08-02
"FOREST LIVING, Apartamentos en Venta en Ciudad jardin, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/forest-living-apartamentos-en-venta-en-ciudad-jardin-cali/15018737,15018737,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a691c869bfa0_infocdn__t6pmreadtrzz071jaqhrprbcox7yykmepbweklghjpg.jpg,[],Desde $ 365.949.000,1 Hab 1 Baño 33.42 m²,"Forest living, apartamentos en venta en ciudad jardin, cali","Apartamento enCali, Valle del cauca",JULIAN APONTE ESTUDIO ARQUITECTOS,Llamar,"Forest Living es un proyecto desarrollado por Aponte Arquitectos y Eduard López Constructora, ubicado en Ciudad Jardín, al sur de Cali, frente a la Reserva Natural El Zanjón del Burro, un entorno privilegiado que combina naturaleza, tranquilidad y una ubicación estratégica. El proyecto está conformado por 79 apartamentos de 1, 2 y 3 habitaciones, con la posibilidad de destinarlos a vivienda tradicional o vivienda turística, ofreciendo una excelente alternativa para vivir o invertir. Está respaldado por Fiduciaria Aval, cuenta con dos sótanos de parqueaderos y ocho pisos de apartamentos, además de exclusivas zonas comunes como lobby tipo hotel, gimnasio, coworking, sala de juntas, salón social, sport bar, lavandería, zonas BBQ, jacuzzis, terraza lounge y tiendas virtuales, diseñadas para brindar una experiencia moderna, cómoda y funcional para residentes y huéspedes.",[],3.3590186351597,-76.541258018796,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,30% PREGUNTA POR NUESTRAS OPCIONES DE FINANCIACION,CONTAMOS CON TODOS LOS MEDIOS DE PAGO,¡Pregúntale!,10,¡Pregúntale!,2029,6,2026-08-02
"TIERRALINDA  DE LOS ALMENDROS, Casa en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-los-almendros-casas-en-venta-en-tierralinda-cali/15017556,15017556,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.686e9beb10aa6_infocdn__pd8dldy4vtph3cuynefqo8fcg1jmrdreoru4qdzxjpg.jpg,[],Desde $ 442.369.200,2 Habs. 2 Baños 61 m²,"Tierralinda  de los almendros, casa en venta en tierralinda, cali","Casa enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,"Tierralinda de los Almendros es un proyecto de casas en condominio que ofrece viviendas de 2 y 3 pisos con parqueadero propio, disponibles en opciones de obra gris o full acabados. Su ubicación estratégica está pensada para familias que buscan espacios cómodos, privacidad y seguridad dentro de un entorno planificado. Es una propuesta ideal para quienes valoran la calidad de vida, la conexión con la naturaleza y la oportunidad de invertir en una propiedad con excelente proyección de valorización.",[],3.3428242,-76.5185552,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,25% CUOTA  INICIAL - 75% Crédito,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2029,4,2026-08-02
"TIERRALINDA DE LOS GUAYACANES, Apartamento en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-los-guayacanes-apartamentos-en-venta-en-tierralinda-cali/15017996,15017996,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.693afcdac197c_infocdn__8wj04bwzwhsbqfqteef4amax8xpzh4awjvwcc1nwpng.png,[],Desde $ 304.000.000,2 Habs. 2 Baños 63 m²,"Tierralinda de los guayacanes, apartamento en venta en tierralinda, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,"Tierralinda de los Guayacanes es un nuevo proyecto de apartamentos VIS en condominio ubicado en la Calle 53 con Carrera 122, dentro del reconocido macroproyecto Tierralinda, al sur de Cali. Un espacio pensado para quienes buscan un hogar rodeado de naturaleza, con un diseño moderno y funcional, y el respaldo de un entorno con proyección de valorización. Este proyecto se desarrolla sobre planos y contará con completas zonas comunes para disfrutar cada día, entre ellas: portería tipo lobby, gimnasio cerrado y dotado, coworking, salón social, zona BBQ, piscina para adultos y niños, zona picnic, zona pet, juegos infantiles y circuito de patinaje infantil. Aquí encontrarás un lugar perfecto para vivir o invertir, con la comodidad y calidad que mereces.",[],3.3428242,-76.5185552,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,4,2026-08-02
"INSITE, Apartamentos en Venta en Versalles, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/insite-apartamentos-en-venta-en-versalles-cali/15018274,15018274,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a700019846d_infocdn__yjufojw3yhuic7tdpdykddixnl2izpkwckzhqxr5png.png,[],Desde $ 315.500.000,1 Hab 1 Baño 34.39 m²,"Insite, apartamentos en venta en versalles, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,"INSITE es un proyecto con posibilidad de rentas cortas ubicado en la estratégica Av. 6 Norte con Calle 21 Norte, un punto clave del norte de Cali por su alto movimiento gastronómico, turístico y empresarial. Pensado para quienes quieren invertir donde la ciudad está activa todos los días, INSITE se conecta con restaurantes, clínicas, comercio y los principales lugares de interés del sector. Ofrece apartamentos funcionales de 34 m² y 35 m², ideales para vivir o generar ingresos a través de rentas cortas en una de las zonas con mayor proyección de la ciudad.",[],3.4627864,-76.5302896,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2029,5,2026-08-02
