Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Apartamento en Venta en Bavaria, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-bavaria-manizales/193670298,193670298,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a63c7d19195f_infocdn__gr-copia-de-venta-apartamento-2-a-1776989571-0635-6910jpeg.jpeg,[],$ 240.000.000,3 Habs. 1 Baño 55 m²,"Apartamento en venta en bavaria, manizales","Apartamento enManizales, Caldas",AF Capital Inmobiliario,Llamar,"AF Capital Inmobiliario ofrece para la Venta iluminado apartamento ubicado en tradicional complejo residencial sector Bavaria. Cerca al Hospital De Caldas y a pocas cuadras de la Avenida Paralela. Cuenta con 3 alcobas, 1 baño, sala comedor, cocina semintegral con servicio de gas natural domiciliario, pequeña zona de ropas, calentador a gas, pisos en cerámica. Parqueadero exterior de uso común. Edificio con portería 24 horas, salón social y zonas verdes. Agenda tu cita: ***.",[],5.062624338832,-75.501986432225,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Baja suiza, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-baja-suiza-manizales/193751056,193751056,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a45a6aada40d_infocdn__wzpbvmjvaudasdo6nnvz3g5szqwvxx5ktzxqro0ajpg.jpg,[],$ 390.000.000,3 Habs. 2 Baños 65 m²,"Apartamento en venta en baja suiza, manizales","Apartamento enManizales, Caldas",Eslava Gestión Inmobiliaria,Llamar,"Presentamos para la venta apartamento en el sector de Bella Suiza, ubicado a 5 minutos la zona rosa de la ciudad, cerca de universidades, centros comerciales y zona empresarial.Apartamento de 3 habitaciones con balcón y parqueadero.Estupendo conjunto con zonas sociales dotadas de piscina, terraza, juegos infantiles, cancha de futbol y salón para gimnasio, entre otros.¡No dejes pasar esta oportunidad, llama ya!",[],5.0591771,-75.4818927,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en La francia, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-francia-manizales/193330394,193330394,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4bcdd776d7f_infocdn__gr-venta-apartamento-2-alcobas-co-1769566997-2434-6585jpeg.jpeg,[],$ 325.000.000,2 Habs. 2 Baños 52 m²,"Apartamento en venta en la francia, manizales","Apartamento enManizales, Caldas",AF Capital Inmobiliario,Llamar,"AF Capital Inmobiliario ofrece para la Venta bello y elegante apartamento con buena iluminación natural y hermosa vista panorámica ubicado en tranquila zona residencial. Cuenta con 2 alcobas con closet (principal con baño privado), baño auxiliar completo, sala comedor con salida a un espacioso balcón, cocina integral con servicio de gas natural domiciliario, zona de ropas, calentador a gas, pisos en cerámica. Parqueadero y depósito. El edificio cuenta con portería 24 horas, ascensor, salón social, zona de juegos infantiles, cancha múltiple. Agenda tu cita: ***.",[],5.0704806525246,-75.53169567559,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en El trebol, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-trebol-manizales/193808244,193808244,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a1764da58fc2_infocdn__htnbafehbxomevhtpw5xqwb7lc6vf86n5p6fbizijpg.jpg,[],$ 650.000.000,2 Habs. 2 Baños 79 m²,"Apartamento en venta en el trebol, manizales","Apartamento enManizales, Caldas",Inmobiliaria Lucia Prada,Llamar,"Vendo apartamento en el trébolSe vende confortable apartamento de 79.21m², distribuido en sala comedor, cocina, zona de ropas, balcón, 2 habitaciones y 2 baños. Además, cuenta con parqueadero cubierto y deposito.El conjunto cuenta con vigilancia 24 horas, ascensor, juegos infantiles, cancha de futbol, gimnasio, salón social y jacuzzi.Está ubicado en un sector privilegiado, a pocos minutos del sector el cable, supermercados, restaurantes, bancos, farmacias, con fácil acceso a transporte público.Contáctanos para mayor información: ***",[],5.0441526,-75.4725914,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Avenida Alberto Mendoza, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-alberto-mendoza-manizales/193968968,193968968,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6a390b4089e_infocdn__gr-copia-de-venta-apartamento-2-a-1783546749-4369-3265jpeg.jpeg,[],$ 640.000.000,3 Habs. 2 Baños 89 m²,"Apartamento en venta en avenida alberto mendoza, manizales","Apartamento enManizales, Caldas",AF Capital Inmobiliario,Llamar,"Capital Inmobiliario ofrece para la Venta bello y elegante apartamento con buena iluminación natural ubicado en exclusivo complejo residencial a pocos metros del Bosque Popular El Prado. Cuenta con 3 alcobas con closet (principal con baño privado y salida a un agradable balcón con vista a la avenida, baño auxiliar completo, sala comedor con balcón, cocina integral con servicio de gas natural domiciliario, zona de ropas independiente, calentador a gas, pisos en cerámica y madera flotante. Parqueadero y depósito. Edificio con portería 24 horas, ascensor, salón social, zona de juegos infantiles. Agenda tu cita: ***.",[],5.0366631491087,-75.472969256373,,,,,,,,,,,,,,2026-08-02
"Casa en Venta en San marcel, Manizales",https://www.fincaraiz.com.co/casa-en-venta-en-san-marcel-manizales/194047151,194047151,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6974757ed86_infocdn__ehu6mhl19itgd13ztczjctcsjptvqt9emggwrkm6jpg.jpg,[],$ 1.250.000.000,3 Habs. 4 Baños 165 m²,"Casa en venta en san marcel, manizales","Casa enManizales, Caldas",En llave Inmobiliaria,Llamar,"Excelente casa en conjunto residencial en el sector de San Marcel ,, excelente ubicación y facilidad de transporte, tiene cerca supermercados, y zona comercial. cuenta con todas las comodidades de los conjuntos... Consta de  3 habitaciones, incluyendo la principal con estudio,  3 baños (2 completos), cocina integral, sala comedor,cuarto de sevicio y una gran terraza con pérgola perfecta para el entretenimiento al aire libre y parqueadero. El conjunto tiene, cancha deportiva,, parque infantil, portería las 24 horas. Si deseas mas información contáctame ***",[],5.0351258,-75.4713629,,,,,,,,,,,,,,2026-08-02
Casa Campestre en Venta en Chinchiná,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-chinchina/194024166,194024166,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a622c68ad431_infocdn__4edyh6hyz9dissklzqdx4dvxflgmo1slcycau2qnjpg.jpg,[],$ 1.990.000.000,4 Habs. 5 Baños 1594 m²,Casa campestre en venta en chinchiná,"Casa Campestre enManizales, Caldas",Inmobiliaria Lucia Prada,Llamar,"Casa campestre en venta en la vereda El Rosario, ManizalesUbicada en un condominio cerrado, cerca del Club Campestre de Manizales, esta propiedad ofrece privacidad, tranquilidad y una hermosa vista hacia Palestina.La casa está construida sobre un lote de 1.594 m² y cuenta con 331,73 m² construidos. Dispone de 4 alcobas, cada una con baño privado, estudio, sala y comedor independientes, cocina funcional y espacios amplios y bien distribuidos para disfrutar en familia.En el exterior encontrarás una amplia terraza, piscina, jacuzzi, zonas verdes con árboles frutales, garaje cubierto, bodega y espacio para estacionar entre seis y ocho vehículos. Además, la propiedad cuenta con puerta eléctrica y un área con potencial para construir un apartamento independiente.La vivienda funciona con paneles solares y el condominio ofrece portería y vigilancia permanente, brindando seguridad y comodidad en un entorno natural.Contáctanos y agenda tu visita al ***.",[],5.0272635,-75.5956169,,,,,,,,,,,,,,2026-08-02
"Casa en Venta en El trebol, Manizales",https://www.fincaraiz.com.co/casa-en-venta-en-el-trebol-manizales/193835355,193835355,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a20a79e8da1e_infocdn__dxg2xfilarr3hse7vglkbfmy5dcaitvnuij2k8rfjpg.jpg,[],$ 2.950.000.000,3 Habs. 4 Baños 360 m²,"Casa en venta en el trebol, manizales","Casa enManizales, Caldas",Inmobiliaria Lucia Prada,Llamar,"Espectacular casa en venta en el sector El Trébol - ManizalesEsta magnífica propiedad, distribuida en tres niveles, ofrece amplitud, diseño y excelente iluminación natural. Con 360 m² construidos sobre un lote de 530 m², brinda el equilibrio ideal entre confort y funcionalidad.Al ingresar, se encuentra una acogedora sala de estar que conecta con una amplia sala independiente con ventanales de piso a techo, la cual se abre a una espectacular zona BBQ cubierta, equipada con pérgola, asador, mesones y área social perfecta para compartir. El comedor independiente tiene acceso directo a una amplia terraza con agradable vista.La cocina integral es moderna y funcional, con isla central, lavavajillas, torre de hornos y excelente iluminación. Cuenta además con zona de ropas y habitación de servicio con baño privado.En los niveles superiores se encuentran  tres habitaciones, todas diseñadas para brindar comodidad, privacidad e independencia. Cada una cuenta con balcón, vestier y baño privado. Además, cuenta con una cómoda zona de estudio o sala de televisión, ideal como espacio complementario para la familia; también dispone de baño social para mayor comodidad de visitantes.La propiedad dispone de  depósito y garaje cubierto con capacidad para cinco vehículos, incluyendo punto de carga eléctrica.Ubicada en un exclusivo conjunto cerrado con vigilancia 24 horas, salón social, juegos infantiles y cancha múltiple, esta casa ofrece un entorno seguro y tranquilo. Su excelente ubicación sobre vía principal permite fácil acceso y cercanía a colegios, universidades, centros comerciales y todos los servicios necesarios para una vida cómoda y práctica.? Contáctanos para más información o agendar tu visita: ***",[],5.0410873,-75.4783766,,,,,,,,,,,,,,2026-08-02
"Apartamento en  Venta en El trebol, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-trebol-manizales/191537169,191537169,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a3aabe80a841_infocdn__gr13854620220520061846jpg.jpg,[],$ 770.000.000,3 Habs. 3 Baños 106 m²,"Apartamento en  venta en el trebol, manizales","Apartamento enManizales, Caldas",Vista Inmobiliaria,Llamar,"Código para WhatsApp: ***Vista Inmobiliaria tiene el gusto de ofrecer en proyecto exclusivos y lujosos apartaestudios, apartamentos y penthouse en venta ubicado en zona privilegiada de la ciudad de Manizales. Tienen un área que van desde los 47.61 Mt2 para los apartaestudios con parqueadero, los apartamentos desde 2 habitaciones con parqueadero incluido con un area desde 88.82 Mt2, apartamentos de 3 habitaciones area desde 113 Mt2 con parqueadero incluido, baños con acabados modernos, espacios amplios e iluminados, balcón y área de ropas. Trae para ti espectaculares zonas sociales como salón social, juegos infantiles, gimnasio para niños y adultos, terraza, increíbles opciones para toda tu familia.Excelente opción para vivir de una manera cómoda y placentera como siempre se ha imaginado, no dude en visitarlo. (los agentes Vista Inmobiliaria siempre dispuestos a brindar la mejor experiencia).",[],5.0402453709535,-75.479335784912,,,,,,,,,,,,,,2026-08-02
"Apartaestudio en Venta en Chipre, Manizales",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-chipre-manizales/193287111,193287111,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.697a6642f307d_infocdn__gr-venta-apartaestudio-chipre-man-1768787853-051-4818jpeg.jpeg,[],$ 307.000.000,1 Hab 1 Baño 41 m²,"Apartaestudio en venta en chipre, manizales","Apartaestudio enManizales, Caldas",AF Capital Inmobiliario,Llamar,"AF Capital Inmobiliario ofrece para la Venta bello y confortable apartaestudio de 2 ambientes con elegantes acabados y una excelente ubicación sobre la avenida principal de Chipre y cerca a la zona rosa. Cuenta con 1 alcoba con closet, un baño, sala comedor con salida a un agradable balcón, cocina integral con servicio de gas natural domiciliario, zona de ropas, pisos en cerámica. Parqueadero. Edificio con portería 24 horas, ascensor. Agenda tu cita: ***.",[],5.0698982914838,-75.524223371162,,,,,,,,,,,,,,2026-08-02
