Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Apartamento en Venta en Belén, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/192445863,192445863,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6831e2417d6c7_infocdn__6avxky5spmmtf72kkxmes9stpbqjg6ixz3iw2tabjpg.jpg,[],$ 470.000.000,2 Habs. 1 Baño 60 m²,"Apartamento en venta en belén, medellín","Apartamento enMedellín, Antioquia",PROPIEDAD RAÍZ INMEDIATA,Llamar,"Apartamento  para la venta   en belén la palma segundo piso  a dos cuadras del centro comercial los molinos, cuenta con dos habitaciones, sala, comedor, cocina integral en mármol, red de gas, un baño cabinado todo enchapado paredes y pisos en porcelanato, edificio lujoso con ascensor, lobby, de uso mixto, portería 24 horas,    red contra incendios ,  puerta digital, parqueadero privado de vehículo.",[],6.2458959,-75.5958794,,,,,,,,,,,,,,2026-08-02
"DISTRITO 33, Apartaestudios en Venta en Laureles Nogal, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/distrito-33-apartaestudios-en-venta-en-laureles-nogal-medellin/15018010,15018010,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6943248f6fdd9_infocdn__btaseayxp5gu91ftsonq4wcqdxqt7sjofe7rrglfjpg.jpg,[],Desde $ 291.500.000,1 Hab 1 Baño 26.5 m²,"Distrito 33, apartaestudios en venta en laureles nogal, medellín","Apartaestudio enMedellín, Antioquia",ARCO CONSTRUCCIONES E INGENIERIA SAS,Llamar,"Proyecto inmobiliario, con exclusiva ubicación en el barrio Laureles de la ciudad de Medellín, cerca de universidades, centros comerciales; con excelentes rutas de servicio público, construcción 100% tradicional, diseño de espacios funcionales y modernos.",[],6.239272,-75.5922253,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,50%,50%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-02
"ARRAYAN, Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/arrayan-apartamentos-en-venta-en-el-poblado-medellin/15018016,15018016,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6944419b3832f_infocdn__y1bqbrlyhkdpqwwukkvhp84by0jo0jeb02zsisz1jpg.jpg,[],Desde $ 558.860.000,1 Hab 1 Baño 30 m²,"Arrayan, apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"Entre tantas razones para invertir en Medellín Amarilo llega de nuevo con un proyecto de vivienda con opción de habilitación para rentas cortas: Arrayán ubicado en Ciudad del Río, una de las áreas de renovación urbana más importantes de la ciudad. Rodeado de diferentes usos como vivienda, oficinas, comercio y servicios, además cuenta con la cercanía del Museo de Arte Moderno de Medellín MAMM y de parques lineales que consolidan el desarrollo de este proyecto en una zona estratégica y de grandes calidades para vivir e invertir.",[],6.2179949,-75.5743333,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-02
"BODEGA HABITAT APARTAMENTOS, Apartamentos en Venta en Perpetuo socorro, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/bodega-habitat-apartamentos-apartamentos-en-venta-en-perpetuo-socorro-medellin/15017765,15017765,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68d1cba71cf83_infocdn__smcfxhs8haoq46ho1vk4spvbu2dbxbvdtojrvqvyjpg.jpg,[],Desde $ 582.589.778,1 Hab 2 Baños 57.23 m²,"Bodega habitat apartamentos, apartamentos en venta en perpetuo socorro, medellín","Apartamento enMedellín, Antioquia",COMFAMA,Llamar,"Bodega Hábitat proyecto de apartamentos, única torre ubicada en el corazón del barrio El Perpetuo socorro un sector que combina cultura, emprendimiento e innovación, acá puedes combinar funcionalidad y bienestar. Zonas comunes diseñadas para potenciar creatividad y el descanso de los residentes, zonas de coworking, gimnasio calestenia, plazoleta de encuentro, zona pet, lavandería, entre otros. Vive, Crea, Conecta",[],6.2351906,-75.5721809,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,70%,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-02
"Casa en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-el-poblado-medellin/193960490,193960490,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4c4760f0050_infocdn__68a27adf-8995-4d17-a6d7-070c07d8bb82.jpeg,[],$ 9.500.000.000,4 Habs. 5 Baños 1105 m²,"Casa en venta en el poblado, medellín","Casa enMedellín, Antioquia",CRECER CAPITAL CORREDORA INMOBILIARIA SAS,Llamar,"Esta casa es una obra maestra, en sus 1.105 m2 construidos encontrarás una joya arquitectónica en el poblado. Pisos en roble y mármol, techos doble altura, iluminación domotizada, sala doble, comedor para doce personas, cocina italiana abierta, cava de vinos, bar extraible, electrodomésticos italianos, cocina adicional oculta y zona de ropas. Estar de alcobas y galería, 4 habitaciones cada una con baño. En la alcoba principal con doble vestier y aire acondicionado, 2 alcobas auxiliares con vestier y una alcoba adicional con vestier. El exterior es majestuoso piscina, jacuzzi, gimnasio, deck con cocina italiano. Una casa de ensueño, cuarto de juego, cuarto de música insonorizado, zona de servicio y parqueadero para 6 carros en la planta baja y 3 carros en la zona exterior. Adicional, energía solar, 400 mts en jardines y paisajismo.  ***",[],6.2088308610761,-75.555871814873,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Laureles, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-laureles-medellin/193631554,193631554,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2017/10/20/20171020161549AQGVMBRHXNDSJYPFULARGWMCSIXODUJZPFU.jpg,[],$ 860.000.000,3 Habs. 2 Baños 100 m²,"Apartamento en venta en laureles, medellín","Apartamento enMedellín, Antioquia",BEMSA,Llamar,"Venta de hermoso apartamento, ubicado en la mejor unidad residencial en Laureles, “Laureles Campestre”Área: 100mtsÁrea Social: Sala + Comedor + balcón, con hermosa vista a la ciudad.Baños: 2Habitaciones: 3 habitaciones, la principal con baño y Vestier.Sala de Estar: 1 con opción de convertirla en 4 habitaciónCocina: Integral muy amplia  + zona de ropasParqueadero cubierto debajo de la torre cerca al ascensor + cuarto útil.Unidad Residencial con todas las amenidades: 2 Piscinas, 4 parques infantiles, Cancha de Futbol y de voleibol, cancha de microfutbol, cancha de vóley playa, lago, sendero ecológico, gimnasio, salón de juegos, 3 salones sociales, zona para perros, Mall Comercial con restaurante y cajero, todo esto dentro de la unidad.Contáctame y ten privilegio de vivir en esta propiedad.",[],6.2415642833315,-75.612995624542,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en La frontera, Envigado",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-frontera-envigado/193796360,193796360,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a68ed044f24f_infocdn__gr43136120260525054042jpeg.jpeg,[],$ 790.000.000,3 Habs. 2 Baños 125 m²,"Apartamento en venta en la frontera, envigado","Apartamento enMedellín, Antioquia",TU GESTOR INMOBILIARIA,Llamar,"Excelente y amplio apartamento para ARRIENDO Y/O VENTA en el sector de la Frontera - Envigado, cerca a supoermercados, a tiendas D1, almacenes, centro comercial sao pablo, mall la frontera, facil acceso a la avenida las vegas, facil acceso a la avenida el poblado, excelentes rutas de tranpsorte publico y de metro, cerca a la milla de oro, a bancos y una gran variedad de servicios complementarios. El apartamento cuenta con 3 alcobas 2 baños, piso en ceramica, cocina  integral semi abierta, meson en acero. La unidad cuenta con vigilancia 24 horas, juegos para niños, zonas verdes, parqueadero lineal (2) privado cuabierto y parqueadero para visitantes.",[],6.1829457279422,-75.577871378594,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193256849,193256849,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.695fd18a26599_infocdn__czcvcsgjmrljzibbke0wqxcbzz3i3goafuzv2ahxjpg.jpg,[],$ 1.620.000.000,3 Habs. 4 Baños 190 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",EVERYPLACE SAS,Llamar,"Descubra este apartamento de 190 metros cuadrados bellamente remodelado, idealmente ubicado en el codiciado barrio de Castropol, a solo unos minutos de la vibrante oferta de restaurantes, cafés y vida nocturna de Provenza. Esta espaciosa vivienda cuenta con tres amplias habitaciones, habitación de servicio y un diseño moderno de concepto abierto con acabados de alta gama en todos sus espacios. Además, permite disfrutar de la vida al aire libre gracias a sus dos balcones privados, perfectos para relajarse o recibir invitados.Con su ubicación privilegiada, diseño cuidadoso y amplios espacios, este apartamento ofrece el equilibrio perfecto entre comodidad y conveniencia en una de las zonas más deseadas de Medellín. En cuanto a los costos operativos, el valor de la administración es de $1.383.000 COP y el impuesto predial es de $1.361.000 COP trimestrales.",[],6.2149067,-75.5640125,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Santa Mónica, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-monica-medellin/193721036,193721036,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69fcf27e785ce_infocdn__zdinxaxh7x0cohlncwpjzs0pzvd2ex41fw5rqmzrjpg.jpg,[],$ 425.000.000,3 Habs. 2 Baños 74 m²,"Apartamento en venta en santa mónica, medellín","Apartamento enMedellín, Antioquia",ALBERTO VÉLEZ M. INMOBILIARIA,Llamar,"REMODELADO Urbanización Poblado de Santa Mónica 3 piso 3 alcobas con closet, 2 baños, cocina integral, sala-comedor, balcón, garaje.Porteria 24 horas, piscina, turco, gimnasio, cancha polideportiva, pista patinaje, juegos infantiles, salón social, parqueadero visitantes, tienda de viveres.Cerca Instituciones Educativas Ciudadela Universitaria de Occidente, Institución Educativa Cristobal Colón, Iglesias Maria Madre del Redentor, Divino Maestro, transporte público, Integrado al Metro, toda clase de negocios cerca",[],6.2519924,-75.6135318,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193658364,193658364,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69e79e4f43de2_infocdn__u8r2ghd2kchbpt7os0nujoqubaoxbdwi6rsbrbgbjpg.jpg,[],$ 930.000.000,3 Habs. 2 Baños 101 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Prointegral,Llamar,"Apartamento en venta cerca a restaurantes, tiendas de cadena, hoteles, centros comerciales, clínicas, mall, acceso a rutas de transporte público y servicios complementarios del sector. Cuenta con piso en  cerámica, sala comedor, 3 alcobas con closet, baño en alcoba principal, baño social, cocina integral cerrada, alcoba y baño de servicio, zona de ropas, balcón y parqueadero independiente cubierto. Conjunto cerrado con ascensor, piscina, gimnasio, salón social, sauna, turco, parques infantiles, placa polideportiva, cancha de squash, zonas verdes, vigilancia y portería 24 horas, citófono y circuito cerrado de TV. Inmuebles sujetos a verificación de disponibilidad.",[],6.2007399,-75.5698808,,,,,,,,,,,,,,2026-08-02
