Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Bodega en Venta en Villavicencio, Pereira",https://www.fincaraiz.com.co/bodega-en-venta-en-villavicencio-pereira/194007874,194007874,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a5c000d67dd4_infocdn__kykvo3phopaqc3agqp7qgumpsvr6adssjswizvnijpg.jpg,[],$ 1.300.000.000,6 Ambientes 2 Baños 330 m²,"Bodega en venta en villavicencio, pereira","Bodega enPereira, Risaralda",HABITEC INMOBILIARIA SAS,Llamar,"Se vende o arrienda moderna sede empresarial en el barrio Kennedy – Pereira.Excelente oportunidad para empresas que buscan una ubicación estratégica sobre la Avenida Santander. Este inmueble de 330 m² construidos, distribuido en 4 niveles, ofrece espacios funcionales, cómodos y listos para operar.Características destacadas:✔️ Oficina de gerencia con baño privado, aire acondicionado y archivo.✔️ Oficina de subgerencia.✔️ Amplia sala de juntas para 12 personas.✔️ 5 oficinas privadas.✔️ 12 puestos de trabajo en módulos.✔️ 2 salas de espera.✔️ Cocina y zona de bienestar para el personal.✔️ Sala de descanso.✔️ Cuarto de comunicaciones.✔️ Cuarto de aseo y cuarto de archivo.✔️ Bodega, área de almacenamiento y zona de cargue y descargue.✔️ 16 cámaras de vigilancia internas y externas.✔️ Parqueaderos internos y externos con capacidad para vehículos y motos.Su distribución permite adaptarse perfectamente a empresas de servicios, call centers, firmas de ingeniería, constructoras, IPS, entidades financieras, centros administrativos o cualquier organización que requiera una sede corporativa de alto nivel.Ubicación: Barrio Kennedy, Avenida Santander, Pereira.Venta: $1.300.000.000 (incluye mobiliario, no incluye computadores ni herramientas).Canon de arrendamiento: $10.500.000 mensuales.Mobiliario opcional: $1.000.000 mensuales adicionales.¡Agenda tu visita y conoce el espacio ideal para hacer crecer tu empresa!",[],4.8111312,-75.6805595,,,,,,,,,,,,,,2026-08-02
"BOTANIKO, Apartamentos en Venta en Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/botaniko-apartamentos-en-venta-en-pereira/15018509,15018509,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4c0e8db9fdf_infocdn__mghhffo0dtnus2iahbcnxxaf2d9mndoapuy2f6gxjpg.jpg,[],Desde $ 230.807.000,1 Hab 1 Baño 24 m²,"Botaniko, apartamentos en venta en pereira","Apartamento enPereira, Risaralda",PROYECTOS URBANOS 3L,Llamar,"Botániko es un proyecto diseñado para quienes buscan un estilo de vida donde el bienestar, la naturaleza y la modernidad conviven en perfecta armonía. ??Cada espacio ha sido pensado para ofrecer comodidad, equilibrio y experiencias que transforman la forma de vivir. Además de apartamentos totalmente terminados, el proyecto cuenta con una exclusiva Torre de Bienestar y B-Hive, una innovadora zona de creación diseñada para impulsar la creatividad, el trabajo colaborativo y el desarrollo de nuevas ideas.?Ubicado estratégicamente sobre la Avenida de las Américas, en Pereira, Botániko ofrece diferentes opciones para cada estilo de vida:Torre 1: Apartamentos de 1, 2 y 3 habitaciones, con áreas desde 52 m² hasta 91 m².Torre 2: Apartamentos, apartasuites y smartsuites de 1 habitación, disponibles con habitación independiente o en formato monoambiente, ideales para vivir o invertir.Botániko no es solo un lugar para vivir; es un proyecto pensado para disfrutar el presente y construir un futuro con mayor bienestar y valorización. ?✨",[],4.8072059,-75.711596,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,40% de inicial - 60% contraentrega,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
Casa en Venta en Pereira,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193592240,193592240,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69d123e54749c_infocdn__wtbkbyaeiu4oj5gv0af7oyahnr4lsmbjcx2xrqvfjpg.jpg,[],$ 180.000.000,4 Habs. 2 Baños 112 m²,Casa en venta en pereira,"Casa enPereira, Risaralda",INFINIT INMOBILIARIA,Llamar,"Casa en venta – Santa Elena, Av. del Río | PereiraCaracterísticas:• Casa esquinera de 2 pisos independientes• Área lote: 58 m²• Área construida: 112 m²• Espacio para guardar motoCada piso cuenta con:• 2 alcobas• 1 baño• Sala comedor• Cocina• Zona de ropasInformación adicional:• Estrato 2• Predial: $140.000 anual• Documentos al día, con escriturasNo se recibe Fondo nacional del ahorro.$180.000.000 MillonesQuedamos atentos para ayudarte a tomar una excelente decisión.",[],4.8193029,-75.7124807,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Avenida Sur, Pereira",https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/193945606,193945606,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6a3ca793c66_infocdn__gr-amplio-ampartamento-con-excele-1783014567-1926-8780jpeg.jpeg,[],$ 360.000.000,3 Habs. 2 Baños 78 m²,"Apartamento en venta en avenida sur, pereira","Apartamento enPereira, Risaralda",LEGARIA CAPITAL,Llamar,"AMPLIO Y SUPER BIEN UBICADO!!!Este cómodo apartamento cuenta con amplia sala comedor, cocina remodelada, puertas y closets remodelados, unas habitaciones super amplias, la principal es la más grande con baño privado, una habitación auxilar tambien grande y la otra habitación auxiliar de un tamaño intermedio, 2 baños amplios con gran potencial para ser remodelados, el conjunto queda cerca a todo puedes dirigirte caminando a muchos sectores de interes como lo es Centro Comercial La 14, Terminal de Transportes, barrio Alamos, Megacentro, El centro de la ciudad, todo está a pocos minutos. Si deseas programar una visita y conocerlo contactanos.",[],4.8006128677387,-75.695436000824,,,,,,,,,,,,,,2026-08-02
"Casa en Venta en Avenida Sur, Pereira",https://www.fincaraiz.com.co/casa-en-venta-en-avenida-sur-pereira/193885002,193885002,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6d0310f07d3_infocdn__gr192915720260617123734jpeg.jpeg,[],$ 650.000.000,4 Habs. 4 Baños 154 m²,"Casa en venta en avenida sur, pereira","Casa enPereira, Risaralda",LEGARIA CAPITAL,Llamar,"Super amplia casa de 154 metros cuadrados por 650 millones, son tres niveles en el primer piso encuentras sala comedor, cocina, patio de ropas con techo corredizo, habitación y un baño con ducha, en el segundo piso encuentras 2 habitaciones cada una con baño y un estudio y en el tercer piso encuentras una mega habitación con baño privado, bar y balcón, con una excelente ubicación en Pereira, amplios espacios, 4 habitaciones, 4 baños completos con ducha, zonas sociales super completas y conjunto cerrado muy seguro y agradable. Si deseas más información contáctanos.",[],4.7983941,-75.7548041,,,,,,,,,,,,,,2026-08-02
"Apartamento en Venta en Pinares, Pereira",https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192719422,192719422,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4fc5d9c33fc_infocdn__gr10398120250805095343jpg.jpg,[],$ 480.000.000,4 Habs. 3 Baños 140 m²,"Apartamento en venta en pinares, pereira","Apartamento enPereira, Risaralda",Megapolis Bienes Raices,Llamar,"Código para WhatsApp: ***Presentamos esta mega propiedad tipo apartamento para la venta en el exclusivo sector de Pinares en la Ciudad de Pereira, en conjunto cerrado y con la ventaja de la ubicación más privilegiada de la ciudad. Cerca de centros médicos, comerciales, educativos, culturales, deportivos y de interés general. Totalmente remodelado, y cuenta con Sala-comedor, cocina integral, 4 habitaciones incluyendo la del servicio, zona de ropas, 3 baños, 2 balcones amplios esquineros, piso en cerámica, un parqueadero cubierto. El conjunto cuenta con 3 torres que consta de 4 pisos cada una, monitoreo de seguridad con cámaras externas e internas, rondero y portero las 24 horas, zonas comunes (cancha de basquetbol, juegos de niños y salón de reuniones).",[],4.8045506,-75.6899925,,,,,,,,,,,,,,2026-08-02
"CORMORÁN SKY HOME, Apartamentos en Venta en Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/cormoran-sky-home-apartamentos-en-venta-en-pereira/6917461,6917461,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4c1262024b1_infocdn__myc9jyv8xde7vz1pgxj8m4eofrxzpd6xwsq8q664jpg.jpg,[],Desde $ 416.314.251,1 Hab 2 Baños 53.1 m²,"Cormorán sky home, apartamentos en venta en pereira","Apartamento enPereira, Risaralda",PROYECTOS URBANOS 3L,Llamar,"Cormorán es un exclusivo conjunto residencial ubicado sobre la Avenida de las Américas, en el privilegiado sector de Corales, Pereira. Los apartamentos se entregan con acabados de alto nivel, amplios balcones y vistas al paisaje cultural cafetero hacen de este lugar un verdadero placer para vivir cada día. Aquí, despertar, compartir y disfrutar los atardeceres será parte de tu nueva rutina.",[],4.8007423,-75.7489623,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,40% de inicial - 60% contraentrega,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-02
"FLORA, Apartamentos en Venta en La julia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/flora-apartamentos-en-venta-en-la-julia-pereira/15018200,15018200,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6985f6df6ac83_infocdn__0anooehpzulvijv0gy15bqv7zwrair7vsssm3kdapng.png,[],Desde $ 171.100.000,2 Habs. 1 Baño 42 m²,"Flora, apartamentos en venta en la julia, pereira","Apartamento enPereira, Risaralda",AMARILO,Llamar,"En Pereira nace un proyecto que transformará la manera de vivir: Hacienda Condina, un desarrollo que integra la naturaleza, la modernidad y la conexión con lo mejor de la ciudad.Con amplias zonas verdes, vías planificadas y espacios creados para el bienestar, Hacienda Condina se convierte en el escenario perfecto para quienes buscan un entorno tranquilo, seguro y con proyección de futuro.Su ubicación privilegiada cerca del Aeropuerto Internacional Matecaña, de los Malls Palo de Agua y Batará Plaza, y de los principales corredores viales de la ciudad, hacen de este proyecto una oportunidad única para vivir o invertir.",[],4.8085625,-75.6815469,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2029,3,2026-08-02
"Hacienda Canaán Apartamentos, Apartamentos en Venta en Los alamos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-canaan-apartamentos-apartamentos-en-venta-en-los-alamos-pereira/10612786,10612786,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69e7a05de9ed5_infocdn__slkqbewd49kdeyctbiq9phlmdeidp7h54q45mnvejpg.jpg,[],Desde $ 868.000.000,3 Habs. 2 Baños 99.7 m²,"Hacienda canaán apartamentos, apartamentos en venta en los alamos, pereira","Apartamento enPereira, Risaralda",CFC&A CONSTRUCCIONES,Llamar,"En Hacienda Canaán hemos creado un santuario natural para la exclusividad y el disfrute pleno de cada espacio, donde el lujo y la naturaleza se convierten en uno solo y el verde se conecta con cada elemento del ambiente. Con una ubicación privilegiada; Hacienda Canaán casas y apartamentos, donde se vive el privilegio de la tranquilidad rodeado del cuidado en cada detalle del diseño y acabados. Una mezcla exacta entre la perfección de la naturaleza, el lujo y la comodidad con espacios únicos y exclusivos: Piscina con lounge seco, gimnasio, pub inglés, salón de invierno, jardín lounge con wifi y Wellness center en el último piso de la torre. Hacienda Canaán, la naturaleza está en los detalles.",[],4.7910866,-75.6930286,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,2026-08-02
"Casa Campestre en  Venta en Tribunas corcega, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/191264829,191264829,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.66cd45426e0d1_infocdn__ggxhpfv5wk5x2qcqpnf6197u3v5ncre5hpvpvejtjpg.jpg,[],$ 2.000.000.000,3 Habs. 4 Baños 1049 m²,"Casa campestre en  venta en tribunas corcega, pereira","Casa Campestre enPereira, Risaralda",OV Servicios Inmobiliarios,Llamar,"En venta, una espectacular casa campestre para estrenar, ubicada en una de las zonas más estratégicas del Eje Cafetero. Esta impresionante propiedad cuenta con un lote de 1,049 m² y un área construida de 418 m², ofreciendo un estilo de vida de lujo y confort en medio de la naturaleza.Al ingresar, serás recibido por una majestuosa puerta de madera y un elegante piso laminado estilo belga. La gran sala cuenta con una chimenea funcional y un balcón con vistas impresionantes a la reserva Barbas Bremen. La cocina, de diseño abierto y lujo, es el corazón del hogar, perfecta para momentos especiales. La propiedad incluye un salón de cine, salón social auxiliar, baño social, zona de ropas independiente, y un extraordinario parrillero gaucho en acero inoxidable.En el segundo piso, encontrarás dos habitaciones auxiliares, cada una con su clóset y baño privado. La habitación principal, amplia y luminosa, cuenta con vestier y un baño con acabados de lujo. Los espacios son amplios y bien iluminados, reflejando una construcción moderna y funcional.La casa también cuenta con parqueadero privado para dos vehículos y espacio descubierto para aproximadamente cinco vehículos más. Además, incluye un salón que puede ser utilizado como taller o gimnasio.Ubicada en un conjunto residencial seguro, rodeado de fauna y flora, y con excelentes vías internas. A tan solo 10 minutos de Filandia, 20 minutos de Pereira y 25 minutos de Armenia.",[],4.7247393,-75.6306,,,,,,,,,,,,,,2026-08-02
