Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,Descripción completa,Unidades,Latitud,Longitud,fecha_recoleccion
"TIERRALINDA DE LOS NOGALES, Apartamento en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-los-nogales-apartamentos-en-venta-en-tierralinda-cali/15018486,15018486,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69fe3ad928fd8_infocdn__b77rtfbnnruvhwl1f0o4xc6gfvln3bp3kmumvux1png.png,[],Desde $ 309.900.000,2 Habs. 2 Baños 63 m²,"Tierralinda de los nogales, apartamento en venta en tierralinda, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,30% CUOTA INICIAL,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"Tierralinda de los Nogales es un nuevo proyecto de apartamentos VIS en condominio ubicado en la Carrera 125 entre Calle 47 y 47B, dentro del reconocido macroproyecto Tierralinda, al sur de Cali. Un espacio pensado para quienes buscan un hogar rodeado de naturaleza, con un diseño moderno y funcional, y el respaldo de un entorno con proyección de valorización. Este proyecto se desarrolla sobre planos y contará con completas zonas comunes para disfrutar cada día, entre ellas: portería con lobby dotado, gimnasio cerrado y dotado, coworking, salón social con aire acondicionado, pérgola BBQ, piscina para adultos y niños, zona picnic, zona pet, terraza de hobbies, juegos infantiles y circuito de patinaje infantil. Aquí encontrarás un lugar perfecto para vivir o invertir, con la comodidad y calidad que mereces.",[],3.3428242,-76.5185552,2026-08-03
"VIOLET, Apartamento en Venta en Cachipay, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/violet-apartamentos-en-venta-en-cachipay-cali/15017417,15017417,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6841c922c62c5_infocdn__8e5zklesmrbk8wpshevlq7twxc4w9av9iatjargejpg.jpg,[],Desde $ 450.000.000,3 Habs. 2 Baños 77 m²,"Violet, apartamento en venta en cachipay, cali","Apartamento enCali, Valle del cauca",JARAMILLO MORA CONSTRUCTORA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,20,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"VIOLET es un proyecto de apartamentos en conjunto cerrado ubicado en la ciudad de Cali, en el sector de Reserva de Kachipay, sobre la calle 60B entre carrera 118 y 118A.El proyecto cuenta con 6 torres cada una de 12 pisos para un total de 288 viviendas, 58 parqueaderos de visitantes (incluye 1 parqueadero para personas con movilidad reducida), 288 parqueaderos privados distribuidos así: 105 descubiertos ubicados en el nivel 1 (Incluye 6 parqueaderos para personas de movilidad reducida), y 183 cubiertos en sótano además de contar con amenities como: portería (Incluye lobby, sala de juntas con baño, espacio técnico, casilleros, espacio de baño para portero), unidad técnica de basura (UTB), Acelerógrafo, salón social (Incluye administración con baño, turco, baños para hombres y mujeres), piscinas de adultos con playa y piscinas de niños y cuarto de bombas de piscina, salón social auxiliar (Incluye gimnasio dotado, baños para hombres y mujeres, espacio para conserjes con baño, tanques de reserva agua potable, cuarto de equipos, subestación eléctrica que incluye planta eléctrica para zonas comunes y espacio para transformador seco que será cedido a la empresa de servicios públicos que corresponda, zona de juegos infantiles, zona de picnic, zona de mascotas, biciparking y senderos peatonales.",[],3.3572426,-76.5059849,2026-08-03
"Mistral, Apartamento en Venta en Normandia, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/mistral-apartamentos-en-venta-en-normandia-cali/15018067,15018067,https://cdn4.fincaraiz.com.co/repo/img/6969237c59423_infocdn__5hdbkruxjvjt0dgntiialhsazxjxrwjtr0stjmu3webp.webp,[],Desde $ 1.350.000.000,3 Habs. 5 Baños 148.2 m²,"Mistral, apartamento en venta en normandia, cali","Apartamento enCali, Valle del cauca",JARAMILLO MORA CONSTRUCTORA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"Desde su ubicación privilegiada en las colinas del oeste de Cali, Mistral es más que un condominio; es un refugio donde la frescura de la brisa te abraza y te inspira a vivir en armonía, rodeado de exclusividad y naturaleza.Ven, y deja que el viento te guíe hacia un nuevo y exclusivo estilo de vida.",[],3.4495663,-76.5444839,2026-08-03
"Malva, Apartamento en Venta en Santa monica, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/malva-apartamentos-en-venta-en-santa-monica-cali/15018066,15018066,https://cdn4.fincaraiz.com.co/repo/img/696916541ef03_infocdn__sd1f0zxehmjpjs93ptuqnwmmmjdgslanwvcbkddswebp.webp,[],Desde $ 1.405.000.000,3 Habs. 4 Baños 134 m²,"Malva, apartamento en venta en santa monica, cali","Apartamento enCali, Valle del cauca",JARAMILLO MORA CONSTRUCTORA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,20,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,4,"MALVA es un proyecto de apartamentos ubicado en la ciudad de Cali, en el exclusivo sector del Norte de la ciudad, en la Avenida 7A # 56Norte – 329. Posee una ubicación privilegiada por sus visuales, su fácil acceso por la infraestructura vial existente. También por su cercanía a prestigiosos Colegios y a importantes Centros comerciales de servicio, almacenes de cadena, hoteles y parques que quedan a pocos minutos.Cerca se encuentra el tradicional barrio Granada, importante centro cultural y culinario de la ciudad, la terminal de transportes, Centro-empresa, Acopi, entre otras importantes zonas económicas.",[],3.4795007,-76.5254022,2026-08-03
"PORTUS 352, Apartamento en Venta en Ciudad los alamos, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/portus-352-apartamentos-en-venta-en-ciudad-los-alamos-cali/3633056,3633056,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2018/5/17/1586238_37_15.jpg,[],Desde $ 567.506.000,3 Habs. 2 Baños 73 m²,"Portus 352, apartamento en venta en ciudad los alamos, cali","Apartamento enCali, Valle del cauca",SOLANILLAS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,1,Financiación: 70% | Método de pago: 30% Cuota Inicial - Separación,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,"venta apartamentos Cali norte - Portus 3.52 está localizado al norte de Cali, Avenida 3 Norte con Calle 52 Norte.  Espectaculares visuales de la ciudad.  Tiene una localización estratégica, cercano al almacén Éxito de La Flora y variadas zonas de comercio, a 10 Chipichape, Jumbo, Pacific mall, Home Center  y a solo 15 minutos del aeropuerto.  Cercano a las multinacionales, ingenios y grandes empresas del norte de la ciudad..",[],3.48365044593811000000,-76.51441192626950000000,2026-08-03
"831 Pulso, Apartamento en Venta en San nicolas, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/831-pulso-apartamentos-en-venta-en-san-nicolas-cali/15018655,15018655,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a5f84b67adce_infocdn__lfowtu9xri1mtad1tvpstfatqyr0daxuu3zphdl8jpg.jpg,[],Desde $ 307.045.000,1 Hab 2 Baños 53 m²,"831 pulso, apartamento en venta en san nicolas, cali","Apartamento enCali, Valle del cauca",JARAMILLO MORA CONSTRUCTORA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,20,¡Pregúntale!,¡Pregúntale!,10,¡Pregúntale!,2029,3,"Conjunto Residencial 8.31 PULSO, es un proyecto de apartamentos en condominio, ubicado entre la calle 30 y 31 y Carrera 8 y 8A, en el barrio Industrial de la comuna 8. Este proyecto tiene como objetivo desarrollar un sector estratégico de la ciudad, Ubicado en el Plan de Renovación Urbana Cardinal, cerca al Corredor Interregional de Transporte Férreo Masivo de Pasajeros y Carga (Tren de Cercanías) por la carrera 7 que comunicara intermunicipalmente a la ciudad con Yumbo, Palmira y Jamundí y el Corredor Verde, un eje que conecta de norte a sur la ciudad.",[],3.4529928,-76.517259,2026-08-03
"ZENTO 75 LOFT, Apartamentos en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/zento-75-loft-apartamentos-en-venta-en-pance-cali/5790637,5790637,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/9/6/2792188_732_14.jpg,[],Desde $ 630.260.000,1 Hab 2 Baños 65 m²,"Zento 75 loft, apartamentos en venta en pance, cali","Apartamento enCali, Valle del cauca",SOLANILLAS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,Financiación: 70% | Método de pago: 30% cuota inicial,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"apartamentos Cali sur venta - Ubicado en el corazón de Pance, su privilegiada localización, le permite estar a pocos minutos de las mejores universidades, colegios, centros médicos, centros comerciales, zonas gastronómicas y gimnasios de la ciudad. El proyecto se conforma por 1 torre de 13 pisos, con un gran patio central, el cual, además de servir como zona de estancia y encuentro en el primer piso, brinda una de las mejores vistas hacia los Farallones..",[],3.35146880149841000000,-76.53424835205080000000,2026-08-03
"TIERRALINDA DE LAS FLORES, Apartamentos en Venta en TierraLinda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-las-flores-apartamentos-en-venta-en-tierralinda-cali/10089763,10089763,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/cff4a999-108e-47d4-9f6d-1983015eef05/photos/cff4a999-108e-47d4-9f6d-1983015eef05_1_True_9b29879b-838c-48e9-bfae-9352fb4661b8.jpg,[],Desde $ 351.562.558,3 Habs. 2 Baños 61.67 m²,"Tierralinda de las flores, apartamentos en venta en tierralinda, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,80% Crédito | Método de pago,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,4,"¡Descubre Tierralinda de las Flores, el vibrante proyecto de apartamentos en el sur de Cali que ofrece comodidad, calidad y una vida conectada con la naturaleza! Este desarrollo de Constructora Meléndez, en Tierralinda Comunidad Vital, garantiza un entorno ideal para la familia con amplias zonas verdes y espacios comunes diseñados para el disfrute de todos.Con 320 apartamentos distribuidos en 4 edificios de 10 pisos, Tierralinda de las Flores ofrece un ambiente de calidad con apartamentos tipo 1, espacios versátiles y acabados superiores. Este proyecto se distingue por su ubicación estratégica al sur de Cali, rodeado de universidades, colegios, supermercados y una exuberante zona verde, brindando un entorno propicio para la valorización.Las amenidades incluyen acceso vehicular, portería con lobby, piscinas para adultos y niños, zona BBQ, locales comerciales y un espacio para gimnasio. Además, este condominio ofrece salón social, juegos infantiles, ascensor, espacios verdes, lobby tipo hotel y administración, brindando una experiencia completa para todos.Los apartamentos presentan una distribución funcional con habitación auxiliar, balcón, habitación principal con baño y closet, baño social, estudio, espacio múltiple, parqueadero privado y un espacio personalizable. Las zonas comunes están pensadas para el encuentro social y el bienestar, con áreas de recreación, espacios para ejercitarse, y zonas verdes para disfrutar de la naturaleza.",[],3.3398615,-76.513924,2026-08-03
"SINARA HABITAT NATURAL, Apartamento en Venta en Zona Oeste, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/sinara-habitat-natural-apartamentos-en-venta-en-zona-oeste-cali/15017764,15017764,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68d1b824dff45_infocdn__nflvkxeovnfrirqy8sawi8hxfv4ktfphgou6etuhjpg.jpg,[],Desde $ 569.797.050,1 Hab 1 Baño 55 m²,"Sinara habitat natural, apartamento en venta en zona oeste, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,30% inicial / 70% credito,ENTREGAS ABRIL 2029,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2029,6,"SINARA es el nuevo proyecto de apartamentos que transformará la manera de vivir en el Oeste de Cali. Su ubicación privilegiada en la Calle 5D Oeste con Av. 4 Oeste, rodeado de un bosque natural, ofrece un entorno que respira frescura, serenidad y equilibrio. Con 2 torres de 19 pisos y 140 apartamentos en cada una, distribuidos en 6 tipologías, SINARA se adapta a diferentes estilos de vida con espacios modernos, acabados de alta calidad y un diseño que se integra armónicamente con la naturaleza.Aquí encontrarás más de 20 amenidades exclusivas para disfrutar cada día al máximo: desde piscinas, gimnasio, coworking, zona wellness, sky lounge y social kitchen, hasta espacios para niños, zonas verdes, pet spa, canchas deportivas y ambientes para el entretenimiento y la relajación.",[],3.4564274006012,-76.547680112164,2026-08-03
"VERDANT, Apartamentos en Venta en El limonar, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/verdant-apartamentos-en-venta-en-el-limonar-cali/15016865,15016865,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.67a3c7e040562_infocdn__4xptrx9lbquvvxttpvwf96rptbou4ojc8rlzkiyjjpg.jpg,[],Desde $ 548.786.460,2 Habs. 2 Baños 62.3 m²,"Verdant, apartamentos en venta en el limonar, cali","Apartamento enCali, Valle del cauca",CONSTRUCTORA MELENDEZ,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,1,CUOTA INICIAL 30%,ENTREGAS 2027,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,5,"Descubre Verdant, un proyecto residencial que redefine la forma de vivir en la ciudad. Con un diseño arquitectónico vanguardista, este complejo residencial te ofrece un hogar sostenible, elegante y lleno de vida. Diseño innovador: Balcones con jardines verticales que embellecen la fachada y crean un microclima fresco y saludable. Espacios versátiles: Amplios apartamentos con cocinas sociales integradas, perfectas para disfrutar en familia y con amigos. Acabados de lujo: Opciones de personalización para crear un hogar a tu medida, con acabados de alta calidad. Amenidades de primer nivel: Disfruta de un club house, piscinas, gimnasio, zonas verdes y mucho más. Tu apartamento, tu estilo Elige entre una variedad de apartamentos con diferentes distribuciones y tamaños, desde acogedores estudios hasta espaciosas viviendas familiares. Personaliza tu hogar con acabados premium y disfruta de la tranquilidad y comodidad que te mereces. Verdant es más que un conjunto de apartamentos. Es un proyecto comprometido con el medio ambiente, que promueve la sostenibilidad y el bienestar de sus habitantes. Ubicación estratégica en el sur de cali. Construcción de calidad: Desarrollado por Constructora Meléndez, reconocida por su experiencia y compromiso. Amplias zonas comunes Perfectas para disfrutar en familia y con amigos. Una excelente oportunidad para adquirir una propiedad en una zona en constante crecimiento. ¡No pierdas la oportunidad de vivir en Verdant! Contáctanos!.",[],3.395036,-76.536263,2026-08-03
