Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,Descripción completa,Unidades,Latitud,Longitud,fecha_recoleccion
"CORAL BAY, Lote en Venta en Barú, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/coral-bay-lotes-en-venta-en-baru-cartagena/15018245,15018245,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.699785d477d71_infocdn__2chouwxzyjopyab50q1npzk6vhbciywdoe2azzhipng.png,[],Desde $ 237.000.000,260 m²,"Coral bay, lote en venta en barú, cartagena","Casa enCartagena, Bolivar",PROMOTORA CONDOMINIO BARU SERENITY BAY CLUB,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,70%,Cualquier medio de pago,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,28/06/2030,4,"Lotes en la Isla de Baru, Sector Portonaito",[],10.2161111,-75.6002778,2026-08-03
"SALARA DE BARÚ COLLECTION, Apartamento en Venta en Barú, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/salara-de-baru-collection-apartamentos-en-venta-en-baru-cartagena/15018599,15018599,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a332a261618c_infocdn__mot6roo8q0d1451th96jm45hy9rmziazodwvwlrtjpg.jpg,[],Desde $ 401.090.300,1 Hab 1 Baño 37.58 m²,"Salara de barú collection, apartamento en venta en barú, cartagena","Apartamento enCartagena, Bolivar",TRAZOS URBANOS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,70%,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Salara Barú Collection es un proyecto de apartamentos turísticos ubicado en Barú, a solo 20 minutos en lancha del Centro Histórico de Cartagena, con acceso terrestre y navegabilidad 24/7. Contará con Club de Playa, muelle de embarque y desembarque, piscina para adultos y niños, car lobby, fully equipped gym, children's playground y coworking space. Un proyecto diseñado para disfrutar, rentar y valorizar en el Caribe colombiano. SALA DE VENTAS ESTÁ UBICADA EN EL CENTRO COMERCIAL NAO EN BOCAGRANDE",[],10.2740037,-75.5406811,2026-08-03
"OPORTO APARAMENTOS, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/oporto-aparamentos-apartamentos-en-venta-en-providencia-cartagena/15017903,15017903,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.690e711462cb5_infocdn__tjryvknjqtdoqbgzhq8agxk9dgkel6i2q86zkxqtjpg.jpg,[],Desde $ 250.000.000,2 Habs. 3 Baños 62.5 m²,"Oporto aparamentos, apartamento en venta en providencia, cartagena","Apartamento enCartagena, Bolivar",MEJIA VILLEGAS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,30,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Oporto Apartamento con ubicación privilegiada en el barrio tradicional La Providencia en Cartagena, cerca de centros comerciales, universidades, y el Patio Portal de Trasncaribe, es un proyecto pensado para ver tus sueños de tener vivienda propia hecho realidad.Si estás buscando un proyecto de vivienda o un hogar para tu familia, Oporto Apartamentos es la opción que te acerca a tus sueños!",[],10.3952884,-75.4741887,2026-08-03
"Fiorentti, Apartamentos en Venta en Ternera, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/fiorentti-apartamentos-en-venta-en-ternera-cartagena/10656397,10656397,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/fae5a4e0-77a7-4dc7-8bf3-ffe38ae28a6c/photos/fae5a4e0-77a7-4dc7-8bf3-ffe38ae28a6c_1_True_1e230b2f-ac44-412f-bdbc-c83a397acb75.jpg,[],Desde $ 492.671.000,3 Habs. 2 Baños 90.76 m²,"Fiorentti, apartamentos en venta en ternera, cartagena","Apartamento enCartagena, Bolivar",MARVAL CARTAGENA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,"Fiorentti está ubicado en un sector de gran desarrollo urbanístico al suroriente de la ciudad de Cartagena, aquí encontrarás un lugar donde los sueños de tu familia se hacen realidad. El proyecto te ofrece diferentes vías de acceso cercanas, así como alternativas en salud, comercio, deporte, entretenimiento y educación. Acá encontrarás el lugar idóneo para construir tu historia. El proyecto te brinda la oportunidad de compartir los mejores momentos con tu familia, por eso sus espacios están pensados para acoger cómodamente y que puedas disfrutar de unas zonas sociales completas.",[],10.39043940000000000000,-75.46918380000000000000,2026-08-03
"BALUARTE DEL PUERTO, Apartamento en Venta en Bellavista, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/baluarte-del-puerto-apartamentos-en-venta-en-bellavista-cartagena/15016817,15016817,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.66d8cb847ce19_infocdn__dlo72wjf2xwaom3kfzyxkfbfnff7ah1cfrbzpnffjpg.jpg,[],Desde $ 276.500.000,2 Habs. 2 Baños 52.69 m²,"Baluarte del puerto, apartamento en venta en bellavista, cartagena","Apartamento enCartagena, Bolivar",PROMOTORA BALUARTE DEL PUERTO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,26,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,3,"Un club residencial exclusivo de entorno 100% familiar y privado, libre del tráfico de rentas cortas o turismo de paso. El refugio ideal para ejecutivos, familias y compradores inteligentes en Cartagena.Diseñado para optimizar tu espacio y presupuesto: Alianza estratégica con Prontomatic (lavandería inteligente en zonas comunes para maximizar el área útil de tu hogar) y Kit de Pisos Premium (mortero, cerámica y zócalos listo para habitar).",[],10.3730477,-75.5045619,2026-08-03
"GINGER, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/ginger-apartamentos-en-venta-en-providencia-cartagena/6914914,6914914,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2021/12/15/3463903_694_0.jpg,[],Desde $ 394.294.000,2 Habs. 2 Baños 77 m²,"Ginger, apartamento en venta en providencia, cartagena","Apartamento enCartagena, Bolivar",AMARILO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,Financiación: 70 %| Método de pago: Todas las entidades,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Contará con seis (6) torres de once (11) pisos cada una destinadas a vivienda, un (1) edificio de 3 pisos de los cuales 2 son de parqueaderos y un piso destinado a servicios comunales como Salón Comunal, Piscina Adultos y Niños, Gimnasio y Parque Infantil , Sótano de Parqueaderos para Automóvil, Motos y Bicicletas..",[],10.38761043548580000000,-75.46761322021480000000,2026-08-03
"SANTORINI, Casa en Venta en Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/santorini-casas-en-venta-en-cartagena/15018027,15018027,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69457d02d1f3e_infocdn__ljxx5y5ovjmxbzv0w0ttnmqkkkknunivu0hz4klzjpg.jpg,[],Desde $ 2.236.000.000,3 Habs. 3 Baños 163 m²,"Santorini, casa en venta en cartagena","Casa enCartagena, Bolivar",AMARILO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,4,"Santorini Refugio del Mar en Cartagena: Un Oasis de ExclusividadRefugio del Mar es más que un simple lugar para vivir; es un espacio donde cada detalle ha sido pensado para brindarte un ambiente de lujo y comodidad, rodeado de naturaleza y con la tranquilidad que solo la cercanía al mar puede ofrecer.Los proyectos que harán parte de este Gran Desarrollo contarán con una combinación de ubicación, diseño, exclusividad y el respaldo de la Constructora Amarilo.",[],10.5241875,-75.4653125,2026-08-03
"SAN MARCO, Apartamentos en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/san-marco-apartamentos-en-venta-en-serena-del-mar-cartagena/10806437,10806437,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/4b43516d-7f31-4aac-b13b-ac3412a40814/photos/4b43516d-7f31-4aac-b13b-ac3412a40814_5_False_387d3e5f-655c-4f2e-9dde-e7c1f1ce4277.jpg,[],Desde $ 477.200.000,1 Hab 2 Baños 60 m²,"San marco, apartamentos en venta en serena del mar, cartagena","Apartamento enCartagena, Bolivar",AMARILO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,70%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,"""San Marco es un conjunto residencial de apartamentos ubicado en el urbanismo de Serena del Mar en la ciudad de Cartagena, zona de desarrollo urbanístico, residencial y comercial en la zona Norte de la ciudad.El proyecto cuenta con acceso en automóvil desde la ciudad a través de la Autopista al Mar a 10 minutos del aeropuerto, se encuentra ubicado en la agrupación 21 lote gran canal 2 del urbanismo Serena del Mar. El predio se encuentra delimitado por el norte con un espacio peatonal que lo separa del proyecto Palladio, al sur con un espacio peatonal que lo separa del lote gran canal 3A del mismo desarrollo, al oriente con la vía local del Boulevard Serenísima, y al occidente con el Gran Canal.""",[],10.500034737295,-75.471292464724,2026-08-03
"MARDUK TOWER, Apartamentos en Venta en Manga, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/marduk-tower-apartamentos-en-venta-en-manga-cartagena/15017902,15017902,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.690e6f758d58b_infocdn__zwmwzwurskz0d0s9xnchqp7qif250vssbrnck2mdjpg.jpg,[],Desde $ 558.000.000,1 Hab 2 Baños 61.5 m²,"Marduk tower, apartamentos en venta en manga, cartagena","Apartamento enCartagena, Bolivar",MEJIA VILLEGAS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,"Modernos apartamentos desde 61,5 mt 2, de 1 y 2 alcobas + disponible. Un innovador edificio residencial, ubicado en una de las zonas más tradicionales de Manga, la 2da. Avenida.",[],10.4113876,-75.5348348,2026-08-03
"El Jardín Azucena, Apartamento en Venta en La esperanza, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/el-jardin-azucena-apartamentos-en-venta-en-la-esperanza-cartagena/15017170,15017170,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.67a27af1107f3_infocdn__xqwkunqlxmb5ypqx4x4aim6nzogepsykgg1s36qnjpg.jpg,[],Desde $ 227.420.000,2 Habs. 2 Baños 65.02 m²,"El jardín azucena, apartamento en venta en la esperanza, cartagena","Apartamento enCartagena, Bolivar",MARVAL CARTAGENA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"El Jardín, Azucena es un proyecto de Vivienda de Interés Social (VIS) ubicado en la Carolina, sector donde se está desarrollando la nueva Cartagena. Esta zona te ofrece todas las comodidades y servicios que necesitas para tu familia. Justamente el hogar que estas buscando diseñado para vivir la vida que sueña con los beneficios que te brinda esta nueva ciudad. Vías de acceso principales y rutas de transporte que favorecen tu movilidad: Vía cordialidad.Sitios de interés cercanos: – Terminal de Transporte – Mamonal (Zona Industrial) – Supermercado ARA,D1, Megatiendas y Olímpica.",[],10.395228,-75.4545597,2026-08-03
